# FILE DATA
ID : MDRW2100034999
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 맞아요ㅋㅋㅋ
P0 	: 요즘 추워졌던데
P0 	: 이불 바꾸셨어요?
P1 	: 비많이올때 이미
P1 	: 두꺼운거 꺼냈어요
P0 	: 오
P0 	: 저도 이불 두꺼운거 꺼냈어요
P0 	: 원래 선풍기 회전으로 틀고잤는데
P0 	: 추워서
P0 	: 이불 덮고 자요ㅋㅋㅋ
P1 	: 선풍기도 끄셔야겠네요
P0 	: 아ㅋㅋㅋㅌ 넹넹
P1 	: 추워졌어요ㅜㅜ
P0 	: 에어컨도 이제 슬슬 안녕할때가 된것같아요
P0 	: 근데 또 이러다가 다시 더워질까봐
P1 	: 저는이제 목에수건두르고다녀요
P0 	: 아직 청소는 못했어요ㅋㅋ
P0 	: 아침에 목이 좀 칼칼한것같더라구요ㅠ
P1 	: 아 ㅋ오늘은 좀 덥더라구요
P1 	: 해떠서그런지
P0 	: 맞아요ㅋㅋㅋ 이럴때만 선풍기 잠깐 틀어요
P1 	: 저도 낮에 선풍기틀었어요
P0 	: 다음주에 보니까
P0 	: 계속 비온대요
P1 	: 에어컨청소 부지런히 하시네요
P0 	: 빨래하실거 있으시면
P1 	: 안돼
P0 	: 내일 하세용
P1 	: 빨래 알겠습니다ㅜㅜㅜ
P0 	: 계속 비가 내내 주륵주륵이더라구요ㅋㅋㅋ
P1 	: 아직안모였는데ㅜㅜㅜㅜ안돼
