# FILE DATA
ID : MDRW2100029943
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 일상 트렌드>콜라보레이션 마케팅(곰표, 진로 두꺼비 등)

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 지금 말한거 말고는.. 재작년에 ost에서 한 카드캡터 체리 콜라보!
P1 	: 아 봤어요!!!
P1 	: 완전 신박해요ㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ저 그건.. 무려.. 십만원어치나 샀었어요
P1 	: 주얼리 브랜드에서도 귀엽고 예쁜 콜라보 많이 하는 것같아오
P1 	: 와
P1 	: !!!
P0 	: 목걸이 하나랑 시계 두개였나?
P1 	: 지갑을 털어가는 마케팅이네요ㅜㅜㅋㅋㅋㅋㅋㅋbbbbbb
P0 	: ㅋㅋㅋㅋㅋㅋ맞아요ㅠㅠㅠㅠ
P0 	: 시계는 이뻐서 꽤 자주 찼는데
P0 	: 사실상 시간보긴 힘들어서 거의 팔찌였구
P0 	: 목걸이는.. 관상용으로 화장대에 잘 잠들어있습니다
P1 	: 헉ㅜㅠㅠㅠ
P1 	: 목걸이는 별로였나요?
P0 	: 후회하지만 후회하지 않아요!
P0 	: 악세사리는 귀걸이 말고 잘 착용을 안해서ㅋㅋㅋ
P0 	: 손이 안가더라구요ㅠㅠ
P0 	: 근데 체리하면 목걸이잖아요
P0 	: 안살수.. 없었어..
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ그쵸
P1 	: 아 이번에 로이드에서도 스누피랑
P1 	: 콜라보하나 그랬던 것 같은데
P1 	: 그것도 정말 예뻐요!!
P1 	: 넘 귀여운 콜라보들...bbbb
P0 	: 우왕 스누피 콜라보
P0 	: 귀엽겠다ㅠㅠ.. 콜라보는 뭐랄까 목적보다는 그냥
P0 	: 소장느낌? 이 확실히.. ㅋㅋㅋ
P1 	: 맞아요ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 막 하고 다니기엔 좀 그래요ㅎㅎ
P0 	: 그래도 아까 처음에 말씀하셨던 무직타이거 짱 귀여워요!
P0 	: 스파오니까.. 한정판매는 아닐거구
P0 	: 맨투맨이니 겨울되면 다시 생각해봐요ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋ그래야겠어요ㅎㅎ!!
