# FILE DATA
ID : MDRW2100010012
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 음악프로 많이 봐?
P0 	: 아니
P0 	: 예전엔 봤는데 요샌 안보네
P0 	: 근데 유튜브에서 봐
P0 	: 지나간거 찾아봐
P1 	: ㅋㅋㅋ난 놀토 왜이렇게 재밋니 요새ㅋㅋㅋ
P1 	: 예전꺼 혜리나올때?
P0 	: 아니도 햬리 나올때 맨날 봤는데
P0 	: 근데 해리 진짜 완전 분위기 메이커
P0 	: 잘추고 잘 정리해서 맞추고
P1 	: 그지 잘먹구 잘추고 귀여웤ㅋㅋㅋㅋㅋㅋ
P1 	: 구박도 당하구 구박도 하구ㅋㅋㅋㅋ
P1 	: 완전 사랑스러움
P0 	: 응 요새 태연은 재미없어
P1 	: 비긴어게인 때도 난 수현은 너무 좋았는데, 태연은 뭐랄까 항상 아주 조금씩 아쉬워ㅋㅋ
P0 	: 맞아
P0 	: 수현은 목소리 천재
P0 	: 태연은좀 애매해
P0 	: 혜리는 드라마 때문에 하차한건가?
P0 	: 너무 아쉽더라
P0 	: 다시하면 잼나고 다시 또 본방 사수할듯
P1 	: 하차 아쉬운 사람 많지 뭐
P0 	: 그렇지
P1 	: 런닝맨에 광수도 그렇구 나혼산에 1얼도 그렇구
P0 	: 전임 만한 후임이 없어
P0 	: 그러니까 아 아쉽다
P0 	: 근데 도대체 그걸 듣고 문제를 어찌 맞추는거야
P0 	: 난 하나도 안들려 ㅋㅋ
P0 	: 넌 잘맞춰?
P1 	: 미안ㅋㅋㅋ이번주 왜이렇게 바쁜지
P1 	: 아닠ㅋㅋㅋ나도 모르겠든데ㅋㅋㅋ저건 아니지~ 이랬던게 맞고 막!
P0 	: 그러니까
P0 	: 참 진짜 하나도 모르겠더라 바빴구나
