# FILE DATA
ID : MDRW2100031259
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 좀 생각이 많이 들게하는 면이 있는 작품인 것 같아요
P1 	: 어릴때 못보고 최근에 본 작품중엔 디지몬 어드벤쳐도 있어요 ㅋㅋ
P0 	: 맞아요.. 잔인하기도 하지만 되려 암울하고 피폐한 면에 반한거같아요
P0 	: 아~! 그거 정말 명작이죠
P0 	: 저 디지몬 시리즈는 테이머즈 말고 다 본거같아요
P0 	: 테이머즈도 어릴때 보기엔 너무 암울하고 어두운 내용이었어서 휴ㅠㅠ
P1 	: 그 피폐지만 처연한 모습이 정말 ㅠ
P1 	: 어드밴처가 가장 먼저 나온 작품으로 알고 있는데
P0 	: 맞아요!!
P1 	: 확실히 담겨있는 교훈도 있고 애들 성장하는게 되게 잘 보인 작품인것 같아여
P1 	: 사실 마지막 극장판이라고 하는
P1 	: 라스트에볼루션을 우연히 먼저 보게 되서 보게 됐는데
P0 	: 네네!
P1 	: 다보고 라스트 에볼루션 보는데 ㅠ 진짜 ㅠㅠ
P1 	: 태일아  너 많이 컸구나
P1 	: 이거 울라고 만든거죠 ㅠ
P0 	: 맞아요ㅠㅠ 애들 진짜 다크고....
P0 	: 어드밴처보면 다들 어렸는데...
P1 	: 소라를 많이 못봐서 사실 아쉬웠어요
P1 	: 마지막 극장판에선
P1 	: 포스터 허위매물이잖아요 ㅠ
P1 	: 저렇게 다같이 모인거 한번도 안보여주고 ㅠ
P0 	: 아놔 이건 기만이에요ㅠㅠㅠ
P0 	: 추억여행 만들고서..
P0 	: 안보여줘
P1 	: 그 사이에 극장판들 다 보셨나요?
P1 	: 중간에 고등학생 배경인 극장판이 6갠가 있는데
P0 	: 오 아뇨아뇨 저 극장판은 못봤어요!!!
P1 	: 오우 ... 그건 없는겁니다
P0 	: 정말 최근에 나온것들은 다 성장한 모습만 보고 내용은 몰라요!
P0 	: 아
P1 	: ㅋㅋㅋㅋ 없는거에요
P0 	: 오..오케이
P0 	: 이해했어요
P1 	: 마치 우리에게 강연 실사판이 없는 것 처럼요
P0 	: 아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠㅠㅠ아 ㅋㅋ ㅠㅠ
P0 	: 너무 적절한 비유예요 진짜
P1 	: 완벽한 작품에 왜 그랬는지 몰라요...
P1 	: 실사판 괜찮다 싶은건 그나마 은혼?
P0 	: 음~! 맞아요 은혼은 실사판 잘뽑았죠
P0 	: 워낙 이상한 만화다보니
P0 	: 이상해도 은혼스러워서 그런가
P1 	: 거긴 이상하라고 만들었지만 너무 은혼 스러운걸요 ㅋㅋㅋ
P1 	: 비하인드도 다 은혼 같더라구요
P0 	: 마네킹 실사도 하는 곳인데 뭔들 못하겠냐 싶기도 하고 ㅋㅋㅋㅋ
P1 	: 진짜 좀 보면서 이상한 장르 ㅋㅋㅋㅋ
P0 	: 은혼은 장르가 은혼이라는 장르라면서요
P0 	: 장르가 은혼 ㅠㅠ
P1 	: 진짜 너무나도 독보적인 작품 ㅋㅋㅋ ㅠㅠ
P1 	: 완결 났다는게 믿겨지지 않아요
P1 	: 어디선가 툴 들고 와도
P1 	: 이 장르는 그럴 수 있지 할 것 같은 작품이에요 ㅋㅋ
P0 	: 아 맞아요 ㅠㅠㅠㅠ
P0 	: 사실 완결이라 하고 다시 돌아와도 인정이지 할거같은...
