# FILE DATA
ID : MDRW2100025827
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 해외/기타
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저는 과일이랑 디저트류를 많이 좋아해요!
P1 	: &name1&님은 어떤 종류의 음식을 좋아하세요??
P0 	: 저는 떡볶이를 제일 좋아해요
P0 	: 근데 매운걸 잘 못먹어서 자주는 못 먹는답니다ㅋㅋㅋㅋ
P0 	: 디저트 어떤거 좋아하세요??
P1 	: 디저트는 제가 치즈 특유의 맛을 그다지 좋아하지 않아서 치즈가 들어간 것만 아니면 거의 다 좋아하는 편이에요!
P0 	: 어머 저도 치즈를 별로 안 좋아해요
P0 	: 치즈 안 좋아하는사람 흔치 않은데
P0 	: 대박이네요
P0 	: 저는 치즈가 느끼하기도 하고
P0 	: 안 좋은 치즈는 입에 계속 남는거 아세요??
P0 	: 그게 너무 싫어요
P1 	: 학 그러게요!ㅋㅋㅋ 다들 치즈 싫다고하면 맛있는데 왜~? 하는 반응이더라구욬ㅋㅋ
P1 	: 저두 꾸덕한 그런 치즈는 입에 남아 도는 느낌이 너무 싫어요ㅠㅠ
P0 	: 그쵸그쵸
P1 	: 헹궈도 헹궈지지 않는 그런느낌이ㅠㅠ
P0 	: 아 이걸 알아주는 분이 계시네요
P1 	: 너무 급감동이에요ㅠㅠ
P0 	: 뭔가 먹어도 냄새가 맴돌아서ㅋㅋㅋㅋㅋ
P0 	: 그니까요ㅠㅠㅠ
P1 	: 맞아요ㅠㅠㅠㅠ
P0 	: 다들 이해를 못 하거든요ㅠㅜ
P1 	: 전 그래서 뽀또 과자 되게 싫어하거든요ㅠㅠ
P0 	: 이 저두요!
P1 	: 근데 진짜ㅠㅠ 다들 왜?? 이 맛있는걸??? 진짜 맛있는데 희안하네~ 이러기만하구ㅠㅠ
P0 	: 맞아요ㅠㅠㅠ
P0 	: 제가 전에 치즈 들어있는 디저트를 먹었는데
P0 	: 완전 뽀또맛 나는거에요!!ㅠㅠ
P1 	: 그런데 여기에서 공감을 나눌 수 있는 분을 만나다니 너무 감동적이에요ㅠㅠ
P1 	: 아어아....ㅠㅠ
P0 	: ㅋㅋㅋㅋㅋ 그러게요 너무 좋네요ㅎㅎ
P1 	: 치즈맛이 안나면 모를까 진짜 너무 싫어요ㅠㅠ
P0 	: 그게 교수님이 사주신거라서 남기기도 그렇고..ㅜㅜ
P0 	: 그냥 먹었어요..ㅠㅠㅠㅋㅋㅋㅋㅋ
P0 	: 근데 저는 피자는 또 괜찮더라구요ㅋㅋㅋㅋ
