# FILE DATA
ID : MDRW2100020220
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 일본음식 어떤거 좋아하셨어요?
P0 	: 소바랑.. 야끼소바라고..
P0 	: 그 면을 튀기듯이 구워서 소스뿌려먹는..
P0 	: 데리야끼쏘스같은..
P1 	: 아 알아요!!!
P1 	: 넘 맛있죠
P1 	: 가끔 먹고싶을때 명동으로 먹으러가요ㅋㅋ
P0 	: 지금도 자주 해먹어요..
P1 	: 오 집에서 직접 해먹어요?
P1 	: 멋있다
P0 	: 이마트에 일본식 라면이랑. 야끼소바 키트 팔아요..
P0 	: 3인분에 4천원이던가.. 비싸지도 않고..
P1 	: 생각보다 안비싸네요?
P1 	: 사다가 해먹을 만 하네요!!
P0 	: 강추해요..
	  그럭저럭 맛이 나요..
P0 	: 타코야끼 같은거도 좋아하시나여?
P1 	: 당연하죠!
P1 	: 겨울에 꼭 먹는 간식
P0 	: 최근 냉동팔길래 사왔는데.. 먹을만하네요..
P1 	: 오 에어프라이기에 구워먹나요?
P0 	: 네.. 에프요... 
	  막 맛잇지는 않은데.. 타코야끼구나 할정도.. 
	  근데 1키로에 6천 이던가.. 엄청 싸요
P1 	: 오 엄청 싸긴 하네요
P1 	: 밥반찬으로는 무리겠죠..?
P1 	: 자취할때 간식으로 먹긴 좋겠네용
P0 	: 탄수화물에 탄수화물을 반찬으로요? ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋ원래 그런거 아닌가요?
