# FILE DATA
ID : MDRW2100023883
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 넵~~~~~~~~~라면 안좋아하는 사람이 있을까요ㅎㅎㅎ
P0 	: ㅋㅋㅋㅋ 최근에
P0 	: 열라면 순두부찌개 맛있다고 유행하던데
P0 	: 들어보셨어요?
P1 	: 네 들어는 봤어요ㅋㅋㅋ
	  먹어보진 못했지만ㅎ
P1 	: 드셔보셨어요?
P0 	: 네네 누가 맛있다고해서
P0 	: 막 중독이라고해서 먹어봤는데
P0 	: 라면 한봉지 끓여먹은것보다 소화가 잘되고 맛있어요
P1 	: 오~
P1 	: 저도 먹어봐야겠어요ㅋㅋㅋㅋ
P0 	: 꼭 드셔보세용
P0 	: 열라면이 라면중에서 좀 매운편이라
P0 	: 다른 라면으로 대체하셔도 괜찮아요!
P1 	: 다른 라면도 괜찮군요~
P1 	: 저는 최근에 그 크림진짬뽕? 먹어봤는데 맛나더라구요
P0 	: 아 이거!ㅋㅋㅋㅋ
P0 	: 저도 컵라면으로 먹었는데
P0 	: 양이 너무 적었어요ㅠㅠ
P1 	: 맞아요ㅠ 양은 적더라구요
P0 	: 맛있긴 진짜 맛있었어요
P0 	: 살짝 달지만...?ㅎㅎ
P1 	: 봉지라면은 더 맛있다고 하더라구요
P0 	: 아 봉지가 더 맛있대요?
P0 	: 한봉지사면 다 먹어야해서
P0 	: 컵라면으로 하나만 먹어본거였거든요ㅋㅋㅋ
P1 	: 네 아무래도 끓여먹는게 더 맛있나봐요
