# FILE DATA
ID : MDRW2100027221
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅇㅇ알아요 기본펄
P1 	: 4글자엮는듯
P1 	: 그게 핸드크림이라구요?
P1 	: 꼬소하고 쫀득한 맛인데
P0 	: 핸드크림맛 ㅠㅠㅋㅋㅋㅋ
P0 	: 별로에오
P0 	: 저는 스벅 쿨라임인가 그거좋아함
P0 	: 생각해보니까 탄산이네
P1 	: 모순이 많은 분이시군
P1 	: 쿨라임 맛잇다는 말 많이 들어본듯요
P1 	: 자허블이랑
P1 	: 자허블은 그냥 그렇던데;
P0 	: 쿨라임 진짜 맛,있음
P0 	: 자허블 싫어하는 1인
P0 	: 여깃음
P0 	: 저도 자허블 별로,,
P1 	: 근데 이름만 들어도 사기네요
P1 	: 쿨라임
P1 	: 에이드지 뭐
P0 	: 그것도맛있떤데 새로나온거
P0 	: 무슨 유자티?
P0 	: 빨간색 노란색 반반있는거
P1 	: 유자도 어딜 들어가던지 사기되는데
P1 	: 빵이건 차건
P1 	: 대신 향이 넘 쎔ㅋㅋㅋ
P1 	: 빨간색 노란색?? 요새 너무 집에만 있나
P1 	: 뭔지도 모르네요
P1 	: 큰일이네
P0 	: 유자 건더기 졸,맛
P0 	: 유스베리티인가
P0 	: 뭐 이름은 그럼
P1 	: 오
P1 	: 이름만 들어도 맛있다
P1 	: 스벅 자주가요?
P1 	: 멤버쉽 vvip고 이런거 아님?
P0 	: 뭐이벤트 이런거있으면 다 스벅으로오고
P0 	: 선물오는것도 다 스벅 카드로오고 ㅋㅋㅋㅋ
P0 	: 갈수밖에없드라구요
P0 	: 그정도는 아님ㅋㅋㅋㅋㅋ
P1 	: 아무튼 감사합니다 고갱님 자주 이용해주세요
P0 	: 스벅 가나 어쩌구 맛남,,
P0 	: 케이쿠
P1 	: 크 그거 맛잇죠
P1 	: 꾸덕한게
P1 	: 투썸 벨지안 같음
P1 	: ?? 단거 안 좋아 하신다고...
P1 	: 이상하다
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아 그러네 그때이거 말했었구나 ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그것만 단독으로 먹지않고
P0 	: 아아랑 같이 먹습니다 ^^
P1 	: 어우 머야 홍진호세요?
P1 	: 세개가 두번씩 오네
P0 	: 엥 왜그러지
P1 	: 근데 초코케익을 아아없이 먹으면
P1 	: 그거는 큰일임
P0 	: 있음 제친구중에 초코빠,순이
P0 	: 걔는 커피 입에도안대서
P0 	: 그런거 티랑마심 ㅋㅋㅋㅋ
P1 	: 와 그걸 어케 계속먹지
P1 	: 아
P1 	: 티가 있구나
P1 	: 티도 괜찮
P1 	: 오설록 티 맛잇는데
P0 	: 저는 차는 돈주고사먹지않습니다
P0 	: 말차는좋아함
P1 	: 좀 더 지나보셈 티가 갑자기 땡기는 나이가 옴
P1 	: 아 저래서 효리네민박에서 다도를 하는구나
P1 	: 함
P1 	: 진짜루
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저 따뜻한거 극,혐함
P0 	: 뜨거운거,,
P1 	: 저도 팔팔할땐 차 왜머금??? 이랬음
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 물론,지금도 팔팔하지만요 ^^
P0 	: 웃음에 많은 의미가 담겨있네요 ^^
P1 	: 아 진짜 맛잇는 티 마샤보면
P1 	: 그런소리 안하는데
P1 	: 보여줄수도없고
P0 	: 그래봣자 물이자나요
