# FILE DATA
ID : MDRW2100047529
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저녁밥 드셨나요?
P1 	: 네네 저는 육회비빔밥 먹었습니자
P1 	: 어떤거 드셨나요?!
P0 	: 저는 피자요ㅎㅎ 육회비빔밥 맛있겠다 외식하신거예요?
P1 	: 네넼ㅋㅋㅋㅋㅋ요즘 육회에 빠져섴ㅋㅋ
P1 	: 헐 피자 어떤거요?
P0 	: 도미노요ㅋㅋ 피자 좋아하세요?
P1 	: 네네 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 쓰읍 저
P1 	: 적폐입맛이라고 하던데
P1 	: 전 하와이안피자 좋아해요
P0 	: 민초단이신가요?
P1 	: 헐 네
P1 	: 어케아셨어요?
P1 	: 저 슈팅스타도 좋아해요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ 호불호 끝판왕 입맛이시네요
P0 	: 체리쥬빌레는 안드시나요?
P1 	: 어 먹어요
P1 	: 솔의 눈만 안먹어요
P1 	: 아니 ... 다 .. 안드세요?
P1 	: 민초 체리쥬빌레
P1 	: 베라 무슨맛 제이르좋아하세요?
P0 	: 전 31요거트요ㅋㅋㅋ 좋아하세요?
P1 	: ㅇㄴ 요오거트요???????
P1 	: 좋아합니다
P1 	: 저는 다 처먹기때문이죠
P0 	: ㅋㅋㅋㅋㅋㅋㅋㄱㅋ슈팅스타도요?
P1 	: 물론이죠
P1 	: 슈팅스타는요
P1 	: 그 나 혼자만 먹고싶을 때
P1 	: 혈육이랑 베라 먹을 때 베라에 슬쩍 끼워넣는 용도에요
P1 	: 그러면 아주 질색하면서 슈팅스타 있는 부분 떼서 줘요
P0 	: ㅋㅋㅋㅋㅋ좋은 혈육이네요^^,,,
