# FILE DATA
ID : MDRW2100023826
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 오 대박 저도 마라 좋아해요ㅠㅠㅠ밀키트같은거 요리하시는건가요??
P1 	: 네넴 밀키트도 많고 제가오늘먹은건 그냥 끓이기만하면 되는 간편식?!?!
P1 	: 저 오늘도 네이버에서 프레시지 행사 하길래 밀키트샀어요 ㅋㅋㅋㅋㅋㅋ
P0 	: 오 대박
P0 	: 프레시지 맛있죠 ㅎㅎ 어떤거 시키셨어요?
P1 	: 스테이크랑 밀푀유나베랑 맥앤치즈랑 고등어요
P1 	: 다 첫도전..!!
P0 	: 스테이크랑 밀푀유는 맛있어요! 제 경험담ㅎㅎㅎ
P1 	: 기대기대됩니다용 ㅋㅋㅋ
P1 	: 밀푀유 보니까 그렇게 겹겹이 포게는건 직접하는거더라규요?!?!
P1 	: 시간 조금 들긴할거같은데
P1 	: 비주얼이 굳
P0 	: 맞아용ㅋㅋㅋㅋ 그건 좀 귀찮긴한데 그 담부턴 끓이기만하면 끝이라.. 맛도 맛있구용ㅎㅎ
P1 	: 먹어보고 맛있으면 또 구매해야겠어여 ㅋㅋㅋ 국물음식 넘 좋아해서 ㅋㅋㅋㅋㅋ
P0 	: 저도 국물 좋아해요 ㅎㅎㅎ 어릴땐 안좋아했는데.. 나이먹으니까 국물이 너무 맛있어요 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그님간여 이런 흐린날에는 더 국물 땡기고 ~~ 아침드셨나요?? 저는 아침으로 샌드위치랑 훈제란 먹었습니당~~
P0 	: 저는 오늘 아침 마시는 요거트로 때웠어요~~
P1 	: 아 맛있죠 마시는 요거트~~!!
P1 	: 점심은 뭐드시나요?~~
P0 	: 점심 구내식당먹었어요!!
P0 	: 김치찌개랑 가지나물 ㅎㅎ 맛있더라구요
P0 	: 저녁 뭐드시나요~?
P1 	: 오옷 저희도 오늘 순두부김치찌개나왔는데 !!!!
P1 	: 근데 이미 배 다 꺼졌네요 넘 배고파요
P0 	: 지금 너무 배고파요ㅠㅋㅋㅋ 오후에 군것질 많이 해서 저녁 완전 굶었거든요 ..
P1 	: 아 어제 저는 저녁먹을때 맥주한잔하고 ㅋㅋㅋ 일찍 잠들어버렸네요 ㅋㅋㅋㅋ
P1 	: 밥먹을때 반주 한잔... 좋아합니다...
P0 	: 오 저도 반주 좋아해요!!- ㅋㅋㅋ 저녁에 한잔 딱 하믄 스트레스가 다 날아가죠ㅠ
