# FILE DATA
ID : MDRW2100030344
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 네! 저는 레드벨벳 좋아해요!
P1 	: &name1&님은 좋아하는 가수 있으신가요?
P0 	: 헐 같은 식구네요 ㅋㅋㅋ저 엔시티 좋아해요!!
P0 	: 레드벨벳 저도 정말로 좋아해요,,ㅠㅠㅠ웬디 진짜 사랑합니다
P1 	: 헐 이런.. 저 레두벨벳 연막입니다..
P1 	: 여기서.. 엔시티를 만나게 되다니요..?
P0 	: 헐.... 시즈니세여?ㅋㅋㅋㅋㅋㅋ
P1 	: 네.. 먼가ㅠ여기서 엔시티를 듣게되다니 감동적입니다..
P0 	: 너무 신기해욬ㅋㅋㅋ저 여기서 한번도 만나본 적 없는데!!!!
P0 	: 최애 누구시나요오!
P1 	: 전.. 울 구ㅏ여운..효자..
P1 	: 지성아ㅠ사랑해애애애애액!!!!
P1 	: ㅠㅠ
P1 	: 박지성없이 몬산다..
P1 	: 박지성 나오ㅓ
P1 	: 박지성 누가 그렇게 웃으래!!
P1 	: 누가 그렇게 귀여우래..!!!!
P1 	: 넘 귀여워여 지금 상상만으로도 넘 귀여워서 심장 부여잡았고요?
P0 	: 악ㅋㅋㅋㅋㅋㅋㅁ지프시군요!! 지성이 진짜...잡아묵고싶어요 그냥..
P0 	: 완전 애기같아서 그냥 장난식으로 오빠라고부르면 죄짓는거같아요그냥 ㅠㅠ
P0 	: 가슴이뻐렁치네요,,
P0 	: 지성이 버블도 하시나여..ㅋㅋㅋㅎㅎ??
P1 	: 당연한거.. 아님니가..ㅠ
P1 	: 지성이 울 애기 어쩜 그렇게 ㅠ
