# FILE DATA
ID : MDRW2100020921
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  직장>선후배/상사-부하
intimacy  :  3
contact_frequency  :  주 1~2회

P1 	: 어디감
P0 	: 나지금 제부도 가는중이야
P1 	: 떠남?
P0 	: 조개구워먹으러 가는중
P1 	: 오ㅋㅋ맛집탐강
P1 	: 제주도 대신 제부도
P0 	: 근데 물길 막혀있음 못들어감 ㅋㅋ
P1 	: 전 엄마집으로 옴
P0 	: 와우 친정여행
P1 	: ㄱㄲㅋ조개 어케하죠
P0 	: 들어가지도 못하고 입구에서 발동동
P1 	: 친정집이 최고의 여행지
P0 	: 기도하면서 가는중
P1 	: ㅋㅋㅋ물길 열리긴함?
P0 	: 친정은 특급호텔
P0 	: 한밤에 열리는거 아닌가몰라
P1 	: ㅋㅋㅋ지금 낮잠타임이라
P1 	: ㅋㅋ그럼 밤까지 제발어
P0 	: 엄마가 옥상에서 고기 구워준댔는데
P0 	: 오늘은 뭐든 구울거라고
P0 	: 굽여행
P1 	: ㅋㅋ오 그게 더 땡긴다
P1 	: 고기파티
P0 	: 옥상에 그릴 있음 ㅋㅋ
P1 	: ㅋㅋㅋ젤부러워
P0 	: 엄마집 옥상에 그릴앤평상 세트있음
P1 	: 여행 왜가여
P0 	: 거기가 펜션이라며
P1 	: 옥상이 바로그곳
