# FILE DATA
ID : MDRW2100025394
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: ㅋㅋㅋㅋㅋㅋ아맞앜ㅋㅋㅋㅋㅋ
P1 	: 식빵언냐랑 배구선수들 런닝맨나온대
P0 	: 오?????
P0 	: 진짜????
P0 	: 나혼산도나오던데
P1 	: 오!!!!!
P1 	: 김희진선수 티파니가하는
P1 	: 컨텐츠도 나온다는데
P1 	: 아 그 티파니와 아침을 이거 재밌더랔ㅋㅋㅋ
P0 	: 오?..
P0 	: 한번봐봐야겠닼ㅋㅋㄱㄱㄱ
P0 	: 유툽서봤는데 식빵언니가 선수촌들어가서
P0 	: 넘잘생긴사람있어서 말걸어보자고 다가갔더니 김희진선수였다곸ㅋㄱㅋㄱㄱㅋㄱㅋㄱ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 야 저기 잘생긴 사람 있어
P0 	: 가서말걸어보자
P1 	: 김희진 선숰ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 했더니 언니 저예요 ㅎ
P0 	: 했다곸ㄱㅋㅋ
P1 	: 아니 근데 김희진선수 예쁜데 잘생겼다고
P0 	: 원래잘생김과이쁨은 한끗차이
P1 	: 그치 한끗차이지
P1 	: 이쁜사람이 원래 잘생긴것
P1 	: 뭔말인지모르겠지만 그렇다고 합시다
P0 	: ㅋㅋㅋㅋㅋ마자
P0 	: 요새 그래서 여배영상 엄청뜨더라
P0 	: 나혼산도 나오는거기대기대
P1 	: ㅋㅋㅋㅋㅋㅋ연경신 예전 나혼산도
P1 	: 계속 올라왘ㅋㅋㅋㅋ
P1 	: 아 근데 이거 사진 전송이 안되는건 쫌 슬프다
P0 	: ㅋㅋㅋㅋㅋㅋ마잘ㅋㄱㅋㅋㄱ
P0 	: ㅇㅇ사진이안되서
P0 	: 터키서청바지사는거 웃겼는데
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ맞앜ㅋㅋㅋㅋ
P1 	: 길이에 맞는게 업ㅅ엌ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㄱㅋㅋㅋㅋㄱ 터키도재밌고
P0 	: 중국때도재밌곸ㅋㅋㅋ
