# FILE DATA
ID : MDRW2100041890
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 좋아좋아
P0 	: 친구 하나가 늘었엉
P1 	: 혹시 그
P1 	: 지령감실이라고
P1 	: 아니
P0 	: 음...모르겠는데
P1 	: 혹시 가방에
P0 	: 어디 들어가기에 넘 랩이 낮아서 빠꾸먹는 경우가
P0 	: 가방이었어
P1 	: 청록색 열쇄같은거
P1 	: 있어?
P0 	: 아니...
P0 	: 그 들어가고 싶어도 못들어가는 그곳이니
P1 	: 함
P0 	: 민트빛 빛이 나오는
P1 	: 가방 찾아봐
P0 	: 방같이 생긴
P1 	: ㅇㅇ그거
P1 	: 그걸 까면
P0 	: 못들어갔어..ㅠ
P1 	: 원석을 40개씩
P1 	: 주거든
P1 	: 혹시 지도 얼마나 열었어?
P0 	: 열쇠없다고 빠꾸먹음
P0 	: 어제 뭐볼땐 11퍼였는데
P0 	: 그게 맞는지 헷갈리네
P1 	: 접속 될때 스샷 찍어서 보여줘바
P0 	: 보냈엉 방금 신상 하나 열어서 넓어졌다
P1 	: 비경에서 감실열쇠도 나오고
P0 	: 난 13랩이지..
P1 	: 원소시련은 튜토야
P1 	: 저거 비경 레벨 기준이
P1 	: 모험렙 아니고
P1 	: 캐릭터들 평균 레벨일걸?
P1 	: 원소시련 그 과부하 융해 증발 감전 그런거
P1 	: 이해하기 힘든사람을 위한
P1 	: 튜토리얼이고
P1 	: 저거는 캐를 지급해줘
P0 	: 아 그래? 근데 못 가던데 흠... 다시 도전을 해보겠습니다
P1 	: 아 그거 모험렙 제한이 있나??
P1 	: 안가본지 너무 오래돼서 기억이 안나는군.....
P1 	: 여튼 여기저기 다녀봐
P0 	: ㅇㅇ 제한있어 지금 보니가 16랩이야
P0 	: 일단 열심히 키우고 갈게ㅠ
P1 	: ㅇㅇ
