# FILE DATA
ID : MDRW2100008558
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 우린 저녁먹고 슬슬 집에 가야겠군#저녁에 고기꿉나?
P1 	: 아니 저녁에 고기안굽는다ㅋㅋㅋ
P1 	: 신랑이 고기구워먹고싶고 ㅋㅋ 첫째는 회먹고싶대
P1 	: 아....ㅋㅋㅋㅋ
P0 	: 이야~먹을줄 안다이~
P0 	: 회맛을 아나??
P0 	: 가족 입맛 다다름 ㅋㅋㅋㅋ
P1 	: 회,초밥 좋아한다
P1 	: 아고 진짜 비싼것만 까다로운것만 좋아한다 ㅋㅋ
P1 	: 우리 첫째 ^^ 하하
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ울첫찌는 물고기쪽은 아예..ㅠㅠ뭐
P0 	: 먹을게 없다..늘 치킨.떡볶이..
P0 	: 난도 초밥먹곱다이~
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ쿠우쿠우 나중에 가자ㅋ
P1 	: 애들 방학 마치고ㅋㅋ
P1 	: 조용할때 한번 가자ㅋㅋ
P0 	: 좋다좋다ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 원없이 먹어보드라거~
P1 	: 응 응 우리는 마트왔다 ㅋㅋ저녁먹을거 좀 사가려구ㅋ
P1 	: 애들 씻기고왔다ㅋ
P0 	: 우리도 씻고 이제 잘준비 중~
P1 	: ㅋㅋ 오늘도 아이들이 일찍잤으면 좋겠다ㅋㅋ
P1 	: 오늘도 고생했다이 ㅋㅋ육아한다고ㅋㅋ
P0 	: 그래~언넝 마무리하고 잡다이~
P0 	: 학교다닐땐 지금 육퇸데 딱 ㅋㅋㅋㅋㅋ
P0 	: 방학은 안되는구먼~
P1 	: ㅋㅋㅋㄱㅋㅋ방학은 힘들지ㅋㅋ
P1 	: 방학도 곧 끝나니 힘냅시다ㅋ
P0 	: 화이팅 화이팅~
P0 	: 오늘도 고생했슈~집안일 마무리허쟈우^^
