# FILE DATA
ID : MDRW2100032485
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 뭐야
P1 	: 뭐가 나쁜말인데
P1 	: 여튼 지금 막
P1 	: 새로운 일 터짐
P1 	: 아르바이트쌤 갑자기 좀전에 카톡으류 월욜에 못나온댄다
P0 	: 오...러닝...
P0 	: 도주...
P0 	: 도주퇴사
P1 	: 알바 도주..대단...심지어 전에 일해보고 자기가 먼저 하고싶다고 연락왔던거
P1 	: 대단하다 대단햐
P0 	: 병원도 그런일많구나...
P1 	: 알바잖아..책임감도 없구..
P1 	: 그랴도 이 바닥 좁은거 알면서 참 대단하다고 생각햐
P1 	: 나 지금 넘나 힘드러 흑...
P0 	: 할일 쌓였겠네
P0 	: 아니.... 다른사람구할시간만이라도좀줘라...
P1 	: 다시는 만나고싶지않아
P0 	: 난 진짜 어디가서 도주퇴사는 안한다
P0 	: 마감도 짼적없다
P0 	: 으른은 그런거닉가
P0 	: 하지만 세상엔 어른이 못된 사람이 많아
P1 	: 마자...나이만 먹었지 어른이 되지 못한 사람들 너무 많아
P1 	: 그 책임감없는 알바때문에 지금 우리는 죽어나가
P1 	: 이미 금욜 퇴근하면서부터 안나올 마음 만반이었드만
P1 	: 짐 다 챙겨가놓고선 그럼 토욜에라도 말해줬어야지
P1 	: 양심도없어 진짜
P0 	: 어머나
P0 	: 퇴사는 2주전 통보예요 요사람아
P1 	: 놀라운 소식, 어제 밤 10시에 또 연락옴
P1 	: 다시 아르바이트 구하면 연락달래ㅋㅋ우리가 왜...?
P0 	: ....?
P0 	: 머임
