# FILE DATA
ID : MDRW2100027774
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 근래에 뭐 사신거 있으세요?
P1 	: 저는 향수를 샀어요!
P1 	: 가을 겨울 대비 향수를 구입했습니다 ㅠ너무신나요
P1 	: 구입한 물품 있으신가요?!
P0 	: 전 자켓을 샀어요.
P0 	: 슬슬 취업준비도 해야하고...
P0 	: 이건  핑계지만요 ㅋㅋ
P1 	: 그렇군요 하지만 자켓은 유행타지않고 꾸준히 입을 수 있으니까요!
P1 	: 좋은 선택이죠!
P1 	: 취업준비는 정말 힘들죠 이럴때 잘먹고 건강해야 정신도 건강한것같아요
P1 	: 중고거래 해보신적 있나요?
P0 	: 옛날에 바자회로 중고거래를 한적은 있는데요
P0 	: 온라인카페 통해서는 안해봤어요
P1 	: 그렇군요!
P1 	: 저는 당근마켓 구매자로 이용하기는 하는데 팔아본적은 없어요 ㅎㅎ
P1 	: 장바구니에 넣어놓은 물건있나요?
P0 	: 에어프라이어 각을 재고 있긴해요
P0 	: 근데 잘쓸까 싶기도하고 생각보다 크기도 하고
P0 	: 사면 냉동만 먹게되는거 아닐까 싶기도하고
P1 	: 에어프라이어 너무 좋죠!
P1 	: 냉동으로 하기 너무 간편해서 그럴 수 있지만
P1 	: 쿠키도 만들고 빵도굽고 여러가지 활용도가 높은 것 같아요 ㅎㅎ
P0 	: 하... 정말 끌리기는 하는데
P0 	: 사놓고 몇번만 쓰고 안쓸까봐 고민중이에요
P1 	: 작은게 아니라 그럴것같아요 ㅜ
P1 	: 가걱대는 어느정도 생각중이신가요?
P0 	: 쌀수록 좋긴하지만
P0 	: 엥간하면 스뎅으로 된게 좋다고해서 그쪽으로 생각하고 있어요
P1 	: 맞아요 그리고 에어프라리어에 넣는 실리콘사시면 씻기도 편하고 좋아요!
P0 	: 앗, 많이 쓰시나봐요!
P1 	: 네! 전 정말 편리해서 잘 쓰게 되더라구요 ㅎㅎ
P1 	: 예전에 실리콘 없이 쓸때 씻기 힘들었는데 실리콘있으니까
P1 	: 더 잘쓰게 되더라구요 ㅎㅎ
