# FILE DATA
ID : MDRW2100023849
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 만둣국에 굴 좀 안넣었으면
P1 	: 좋겠어
P0 	: 아 굴넣어??
P1 	: ㅇㅇ
P1 	: 전라도라 그런가?
P0 	: 생각도 못해본 조합
P1 	: 떡국도
P1 	: 매생이에 끓여먹거나
P1 	: 굴 넣거나 해
P0 	: 우리는 매생이 굴국을 따로먹어
P0 	: 떡국은 사골..
P1 	: 솔직히 비린내 겁나 심해
P1 	: 또 그건
P1 	: 우리집 {censored}스콘이
P1 	: 고깃국물에 끓인 떡국같은건
P1 	: 자시지 않겠다 하시어
P0 	: 엥
P0 	: 왜야
P0 	: 사골국이 얼마나 맛잇는데
P1 	: 해남출신이라
P1 	: 굴국물이 좋대
P1 	: 뭔상관인지는 모르겟음
P0 	: 그니까 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 우리집도 인천이라
P0 	: 바닷가 출신들이지만
P0 	: 그건 그거고 이건 이거지
P1 	: ㅇㅇ그래서 한 3년 전부터는
P1 	: 난 비비고 사골곰탕 사와서
P1 	: 따로 끓여먹음ㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋ 잘햇어
P1 	: 나는 또 비린것을 극혐해서
P1 	: 그리고 매생이국 솔직히 좀 비위상하게 생겼어
P1 	: 녹조같아
P0 	: 난 가리는 것도 거의 없고
P0 	: 비린것도 잘먹는데
P0 	: 굴은 적응이 안됨..
P1 	: 바지락은 내가 알맹이를 먹진 않아도
P1 	: 국물은 시원한데
P1 	: 굴은 진짜 비려......
P0 	: ㅇㅇ
P0 	: 나도 바지락이랑 재첩은 잘먹는데
P0 	: 굴은 모르겠어....
P0 	: 내가 조개류중에서 유일하게 안먹는게 굴임..
P1 	: 근데 그 비린맛이 좋은거래
P1 	: 이해할수없음...
P0 	: 솔직히 말이 좋아서 바다향기지
P0 	: 비린내잖아....
