# FILE DATA
ID : MMRW2100000218
category :  온라인 대화 > 다자 대화(3인)

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 카카오톡
date : 20210603
topic : 기타/일상

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 3
age : 20대
occupation : 가정 주부
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 칼퇴했긔
P1 	: 안녕
P0 	: 집임
P1 	: 올
P0 	: 언제퇴근함 &name2&
P1 	: 나 아직 회사긔
P0 	: 7시반?
P1 	: 엉
P0 	: 큽
P1 	: 큽ㅠㅠㅠㅠㅠ
P0 	: 고생하라
P0 	: ㅠㅠㅠ
P1 	: 싫다
P1 	: 고생하기 실닭
P0 	: 나도욧
P1 	: 밥은
P0 	: 아직요
P0 	: 널부러져있어
P1 	: 뭐먹을건뎅
P0 	: &name2&가준 완당 6개
P1 	: 미틴
P0 	: 남은거 처리해야지
P1 	: 완당킬러
P0 	: 옴마가 닭볶음탕 하는듯
P1 	: 나도 엄마밥 먹고싶노
P0 	: 머리아파서 배고픈데 입맛도없네여
P1 	: 머리 왜아품
P0 	: 편두통요
P0 	: 머리아파서 오전에 안과갔다왔움
P0 	: 눈건조해서 그렇다는데
P1 	: 아니
P1 	: 큰 돈주고 했는데 
P1 	: 왜 아픈거임 자꾸
P0 	: 큽
P1 	: 팍싀
P0 	: 의사가 렌즈공간이 좁아서
P1 	: ㅇㅇ
P0 	: 검진 자주해야한다고
P1 	: 피곤하다 증말
P0 	: 홍채가 앞으로 좀 나와있어서 더 건조한거같다고
P0 	: {emoji}
P0 	: 현타...
P0 	: 눈좋은게 복이다 진짜
P1 	: 마즘
P0 	: 근데또아침에 차를 맨안쪽에 대가지고
P0 	: 4명보고 차좀빼달라고 했더니
P1 	: ㅋㅋㅋ
P0 	: 공장장이 오후에와서는
P1 	: 엉ㅋㅋ
P0 	: 아프다고 소문났다고
P0 	: 쪕....
P1 	: 롸
P1 	: 소문 무슨일ㅋㅋㅋ
P0 	: {emoji}
P0 	: 씻고오겠어
P0 	: 존버하고있거라
P1 	: 오냥
P2 	: 나능 애들 밥주고 밥먹고 왓더리
P1 	: 고생햇긔
P2 	: 어후 날씨 꾸져서 암것도 하기싫넴
P1 	: 나 하루종일 그래서 꾸역꾸역 일함
P2 	: 저도여 ㅠㅠ
P1 	: 오늘 술한잔 하시긔?
P2 	: 배부르니 더 귀찬고여
P2 	: 님은 저녁 먹음 ?
P1 	: ㅋㅋㅋㅋㅋ난 라면나왔는데
P2 	: 술이 없쪼요
P1 	: 내가 발로 끓여도 맛있을듯
P2 	: 심각하네
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 밥 맛없다고 타령하는것도 힘들쟈나 
P0 	: 맞음
P2 	: 그르게요 ㅠㅠ
P0 	: 이제해탈의단계
P1 	: 근데 우리회사는
P2 	: 님 벌써 다씻음 ?
P1 	: 찐이야... 
P0 	: 응
P1 	: 존트 빨러
P2 	: 빠른거니
P0 	: 머리는 암말임
P1 	: 존트 발라
P2 	: 내가 늦은거니
P2 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 나 오래걸림
P2 	: 저도여
P0 	: 아님 대충씻었음
P1 	: ㅋㅋㅋ
P2 	: 어흑
