# FILE DATA
ID : MDRW2100018738
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 태블릿/패드
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>형제자매
intimacy  :  4
contact_frequency  :  주 1~2회

P0 	: 뭐냐
P0 	: &name3& 왜 울어?
P1 	: 간식 달라고
P1 	: 울어
P1 	: 아빠가 좋아 vs 엄마가 좋아
P0 	: 나
P0 	: 난 나만 좋아해
P0 	: 닌
P1 	: 너 엄마한테 다 일러
P1 	: 니 이제 엄마가 주는 용돈 받지마라
P0 	: 미쳤냐
P0 	: 뭐래
P1 	: 우리 가족 봉사단 활동 언제해?
P1 	: 저번에 갔을때
P0 	: 몰라
P0 	: 하고 싶어?
P1 	: 너가 정해
P0 	: 싫어
P0 	: 네가 정해
P0 	: 야
P0 	: 샤브샤브 얼마냐
P1 	: 뭐
P1 	: 몰라
P0 	: 거기에ㅡ맞추ㅝ서
P0 	: 자켓 찾아
P1 	: 대충 3명이서 먹으면
P1 	: 9만원?
P1 	: 9만원짜리 찾아??
P0 	: 아니
P0 	: 인당이지
P0 	: 내꺼만
P0 	: 3
P1 	: 칫
P0 	: 오
P1 	: 그러면
P0 	: 에서
P1 	: 3만원짜리
P0 	: 이응을 빼 봐요
P0 	: 4만원
P0 	: 4만 5천원
P1 	: 오케이
P0 	: 7천우ㅜㄴ
P0 	: 까지
P0 	: 허용
P1 	: 알았어알았어
P1 	: 근데.그냥 너가 골라주면 안돼?
P1 	: 나 찾기 귀찮은데
P0 	: ㅇ
