# FILE DATA
ID : MDRW2100024046
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 뱀좋아하세요?
P1 	: 매탈남님이제 영상편집잘하시네요
P1 	: 설마요
P1 	: 마시는용으로 물으시는건가요? ^^
P0 	: ? 아 뱀술이요?
P1 	: 네
P0 	: 안마셔봐서 모르겠네요
P0 	: 이재명이 당선되면 보신탕없애겠대요
P1 	: 저도.. 뱀치우면 입에넣을수있을듯요
P1 	: 반려로 키우는사람이 많으니
P1 	: 보신탕이 좀안좋은문화겠죠 그분들께는
P0 	: 근데 유기견입양하시고
P0 	: 광고잘하셨으면서
P1 	: 메탈남님 재활용으로 고양이 타워만드시는게 실력파시네요
P0 	: 이제는 방치했다고 뉴스떴던데
P1 	: 재명님 그분의 머릿속은 참
P0 	: 그분은 신의 손을 가지셨어요
P1 	: 알다가도 모르겠네요
P0 	: 전 확연히 알거같은데
P0 	: 그것이 알고싶다
P1 	: 맞아요 재명님보다 인간미 넘쳐요
P0 	: 코리안마피아편 보시면
P0 	: 무서우실꺼에요
P1 	: ㅋㅋㅋ
P1 	: 아..벌써부터 겁나네요
P0 	: 보셨나요?ㅋ
P1 	: 아니요
P1 	: 그걸 먼저 찾아보고
