# FILE DATA
ID : MDRW2100039645
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 필라테스는 잘 다녀왔어?
P0 	: 민덩아~~~~~
P0 	: 내가 이제야 집에 와서 핸드폰을 본다네~~~~
P0 	: 응응 나 9시 수업이었는데
P0 	: 지각했지만 그래도 오늘은 괜찮았어!!!!
P1 	: 응응 잘했어~!!
P0 	: 민덩이는
P0 	: 컨디션 좀 어때?!
P0 	: 오늘 화이자 2차 맞은지
P0 	: 만으로 2일차인가 ?!
P1 	: 웅웅
P1 	: 생각보다 괜찮아요
P0 	: 다행이다!!!!
P0 	: 우리 엄마도 어제
P0 	: 화이자 2차 맞았어!
P1 	: :)
P1 	: 괜찮으셔?
P0 	: 응응 아직까지는 괜찮아!! 헤헤
P0 	: 1차가 AZ였는데
P0 	: 혈전 반응 보였었거든 ㅠ
P1 	: 응 다행이다 정마
P1 	: 정말
P1 	: 어휴 안아픈것만해도 최곤것 같아..
P0 	: 맞아맞아
P0 	: 민덩이 오늘 컨디션은 어때?!
P0 	: 오늘 수제버거 먹으러 가는 날인데!!!
P1 	: 오늘 괜찮아요 ㅎㅎ고마워
P1 	: 그냥 피곤하고 근육통있는정도라 다행이야아
P0 	: 정말 다행이다!!! 나는 아직 1달도 더 남았지
P0 	: 울엄마도 그냥 잘 먹고 잘 지내더라구!!!
P1 	: ㅎㅎ응응
P0 	: 난 어제 필라테스 다녀오니까 오늘 완전 피곤햌ㅋㅋㅋ
