# FILE DATA
ID : MDRW2100024136
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 누구 좋아해요 님은
P0 	: 어디가 좋아요?
P1 	: 송중기는 너무 잘생겼으니까요
P1 	: 잘생긴거 최고
P0 	: 송중기는 송혜교꺼 아니였어요?
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 이혼한지가 언젠데
P0 	: 어머 그래요?
P1 	: 네넹
P0 	: 그 누구지 안재현도 이혼했던데
P1 	: 충격의 이혼이었죠
P0 	: 잘생긴사람이 이혼하는게 유행인가봐요
P1 	: 그니까요 그즈음에 다 이혼해서 충격
P0 	: 원래 송송커플로 유명하지 않았어요?
P1 	: 송혜교는 아무말없이 이혼햇고
P0 	: 저 그때 자녀 낳으면 되게 예쁜 아기 나올거라고 엄청 부러웠는데 ㅜㅜ
P1 	: 구혜선은 뭔기 많이 떠들어서 좀 그랬고
P1 	: 비교가 됐었죠...
P0 	: 구혜선 누나 왜그래요 자꾸?
P1 	: ㅋㅋㅋㅋㅋ그러게요
P0 	: 원래 구혜선 좋아했는데
P0 	: 그 일로 인해서 좀 정떨어졌어요
P1 	: 송혜교가 뭔가 딩크족이었을거같아요
P0 	: 아~ ㅜㅜ 왜요?
P1 	: ㅋㅋㅋㅋ뭔가 듣기로는 그런 류의 이혼같더라구여
P1 	: 출산과 육아에 대한 가치관 갈등
P0 	: 그래도 미성숙한 부모가 되는 것보다 딩크족이 더 낫다고 생각해요!
P0 	: 박수 짝짝
P0 	: 저 연예인 중에 좋아하는 사람 있어요
