# FILE DATA
ID : MDRW2100016157
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 최근 잘샀다 생각하시는 꿀템있으세요?ㅎ
P1 	: 최근에 잘샀다라..음 최근에는 쇼핑한건 없고
P1 	: 어.. 돌돌이..?
P1 	: 그 바닥미는거쇼
P1 	: &name1&은요?
P0 	: 다이소에서 사신건가요? ㅋㅋ
P1 	: 아니요 다이소꺼는 너무 스레기라..
P0 	: 저는 음 아 신일 선풍기 어제 배달왔어요
P0 	: 그럼 어디꺼가 좋나요? ㅎㅎ
P1 	: 인터넷에서 그 어디꺼지 그랩코꺼샀어요
P1 	: 원래 고로고로라고 일제꺼썼는데 비싸서 ㅎ
P1 	: &name1&은 최근 구매하신거 있으세요?
P1 	: 아 선풍기사셨다고 하셨구나
P1 	: 어떠세요?  저도 선풍기하나 사야하는데
P0 	: 철이 좀 지나긴했죠 ㅋㅋ
P0 	: 이제 곧 가을이라 ㅋㅋ
P0 	: 근데 잘산거같아욥
P1 	: 그래도 간간히 좀 더워서
P1 	: 아직은 필요한거같아요
P1 	: 내년여름 생각하면 잘 사신거에요
P1 	: 선풍기의 어떤점이 마음에들었나요
P0 	: 음 가격?
P0 	: 94000원인데
P0 	: 82000에 산점? ㅋㅋㅋ
P1 	: 값이 꽤 나가네요
P1 	: 오 합리적인 가격에 구매하셨어요
P1 	: 모터는 잘 돌아가나요
P0 	: 원래 어느 정도 하는지 시세를 모르겠어서요
P1 	: 그냥 사셨구나 잘 사신거면 된거죠
P1 	: 만족하시면 된거아니겠습니까ㅎ
P0 	: 무소음이라고 하더라고요
P1 	: 장점이크네요
