# FILE DATA
ID : MDRW2100009442
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 개강은 언제인가요?
P1 	: 저는 졸업을해서 개강이 없어요
P1 	: &name1& 님은요?
P0 	: 주제가 학교관련이라...
P0 	: 저도 어른입니다.. ㅋㅋㅋ
P0 	: 뭐 최근데 배우시는거  있나여?
P1 	: 데이터 쪽 공부하고 있어요
P1 	: &name1&님은 학교다닐때 동아리활동 하셨었나요
P0 	: 저는 아싸라... 동아리는... 
	  아.. 사회인되서 일본어 동아리요.. ㅎㅎ
P0 	: 동아리 활동하신거있으신가봐여?
P1 	: 아니요 저는 해본 동아리 없어요
P1 	: 일본어 동아리 하셨구나. 일본어에 관심 있으셨어요?
P0 	: 밥벌이였엇죠.. ㅎㅎㅎㅎ
P0 	: 어릴때 일본어에 빠져서.. 일어만 팠던거 가아요..
P0 	: 디비하시는건가요ㅡ
P1 	: 그럼 학교다닐때 전공도 일본어쪽이셨나요?
P1 	: 네
P0 	: 반도체 전공인데.. 그냥 취미로 일본어하다가..
	  일본계에서 일하게되었네요..
P0 	: 디비도 계속 공부하셔야되죠?
P1 	: 계속 공부할께 생기네요
P1 	: 그럼 학교다닐때 축제는 좀 다니셨나요?
P0 	: 학생때는 공부아님 땡땡이만 친듯... ㅋㅋ
P0 	: 모범생이엿나요?
P1 	: 그냥저냥 지각안하는 학생이였어요
P1 	: 축제는 새내기때 많이다녔구요
P0 	: 전공으로 취직하신거면 공부 잘하셧을듯..
