# FILE DATA
ID : MDRW2100040608
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 중간에 잘려서 순간적으로 봤는데
P1 	: 어떤 음식을 제일 잘 만드시나요?
P1 	: 대부분 과일을 좋아하시면 혹시 이번에 유행한 복숭아도 해서 드셔보셨나요??
P1 	: 그릭요거트 넣어서 만들어 먹는
P1 	: 앗! 연애.. 하고 계신가요?
P0 	: ㅎㅎ아뇨 잠시 쉬는 중이예요
P0 	: &name2&님은요?
P1 	: 저도 지금은 하고 있지 않아요 ㅎㅎ
P1 	: 그러면 이상형이 어떻게 되세요??
P0 	: 아 아무래도 요즘 사람 만나기가 쉽지 않죠
P0 	: 저는 곰돌이 스타일 좋아해요
P0 	: 외모도 성격도 둥글둥글
P1 	: 아! 약간 슬의에 석형이같은 사람을 좋아하시는 걸까요?
P0 	: 앗 맞아요
P0 	: 성격은 석형이보다는 정원이 쪽이지만?
P1 	: 아 정원이 스타일 성격 진짜 최고에요{emoji:♡}
P1 	: 그런 사람 정말 만나기 힘들어서 그렇지
P0 	: 맞아요ㅜ
P1 	: 굉장히 좋아하는 스타일인데
P1 	: 이렇게 보기 힘든지 몰라요 ㅠ
P0 	: &name2&님 이상형은요?
P1 	: 저는 외형은 젊었을때 이동욱이요!
P0 	: 오 부리부리한 스타일 좋아하시는구나
P1 	: 하얗고 그쵸 ㅋㅋㅋ
P1 	: 눈크고 키도 크고
P1 	: &name1&님께서는 나중에라도 결혼 생각이 있으신가요??
P0 	: 음 비혼주의는 아닌데
P0 	: 점점 그냥 혼자 살아도 괜찮겠다는 생각이 들어요
P1 	: 어떤것 때문에 그렇게 생각이 드시나요??
P0 	: 그냥 인연 만나는 게 생각보다 쉽지 않구나 싶기도 하고
P1 	: 그쵸그쵸 쉽지 않아요 ㅠ
P0 	: 주변에 결혼하고 출산 육아하면서 자기를 잃고 힘들어하는 사람들도 보이고요
P0 	: 물론 행복한 사람들이 더 많지만ㅎㅎ
