# FILE DATA
ID : MDRW2100007431
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전북
principal_residence : 대전
current_residence : 세종
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요~ 뮤지컬 즐겨보시는 타입이신가요?
P1 	: 헉 네 저 뮤지컬 좋아해요
P1 	: 뮤지컬 좋아하시나요?
P0 	: 우왕 저도 좋아해요! 어떤 뮤지컬을 제일 좋아하시나요?
P0 	: 네네!
P1 	: 저는 스위니토드 엄청 좋아해요
P1 	: 손드하임이랑 웨버 뮤지컬은 거의 다 좋아하는 것 같아요
P1 	: 대학로 뮤지컬도 가끔씩 보구요
P1 	: 어떤 뮤지컬 좋아하시나요?
P0 	: 와!저도 스위니토드 좋아해요
P0 	: 전 오페라의 유령이 제일 기억에 남는 것같아요
P1 	: 아 오페라의 유령 저도 많이 좋아해요
P0 	: 아 정말요?ㅠ 노래가 정말 좋죠ㅠㅠ
P0 	: 전 공연 보고 빠져서 영화로도 봤어요ㅋㅋㅋ
P0 	: 공연보시고 제일 기억에 남으셨던 뮤지컬 원탑은 뭐였나요?
P1 	: 저는 위키드요!
P1 	: 앗 아니다 역시 오페라의 유령 할래요
P1 	: 사실 영화를 보고 공연을 봤던 거였는데 무대가 장난 아니어서 놀랐어요...
P0 	: 앗ㅋㅋㅋㅋㅋㅋㅋ 제 영향인가 했는데 김칫국이었네요
P0 	: 그쵸 전 오페라의 유령에서 샹들리에 떨어질때 엄청 놀랐어요
P1 	: 그쵸 그 장면! 유명한 게 이유가 있다는 걸 알았어요ㅋㅋㅋ
P0 	: 맞아요ㅋㅋㅋㅋ네임벨류가 그냥 네임벨류가 아니구나 느꼈던..ㅋㅋㅋ
P0 	: 그래서 그런지 티켓 예약하는것도 힘들더라구요
P1 	: 아 맞아요... 티켓 예매하는 거 너무 힘들죠
P1 	: 매번 이선좌 좀 그만 보고싶어요
P0 	: 맞아요맞아요...그래도 볼만한 가치가 있는 것같아요
P0 	: ㅋㅋㅋㅋㅋㅋ보라색을 보고 싶은데 말이죠
P1 	: 맞아요ㅋㅋㅋㅋ
P1 	: 최근엔 보고싶으신 뮤지컬 있으신가요??
P0 	: 전 음...위키드 보고 싶어요 좋다고 들었는데 정작 보진 못해서ㅠ
P1 	: 위키드 좋긴 좋았어요
P0 	: 노래가 파워풀하단 얘기를 들었어요
P1 	: 네 맞아요 그래비티 실황으로 들으니까 소름돋았어요ㅋㅋ
P1 	: 그리고 위키드도 무대에 엄청 신경 쓴 티가 나서 그것도 좋았구요
