# FILE DATA
ID : MDRW2100019408
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 경북쿠폰
P1 	: 받아봐
P1 	: 나떡살까
P0 	: 배민?
P0 	: 우와 네이버군용
P1 	: 아오바빠바빠 ㅋㅋㅋㅋ
P0 	: ㅋㅋ떡샀어?
P1 	: 보다가 뭐 그냥사버림 ㅋㅋㅋㅋ
P0 	: ㅋㅋ마카롱 사고싶당ㅋㅋ
P0 	: 근데 맛없을라나
P1 	: 마카롱 사 ㅋㅋㅋ 난 원래 주스살까보다가
P1 	: 막상안먹을꺼같아
P0 	: ㅋㅋㅋ맞아 먹을걸사야해
P0 	: 마카롱은 사실 정말 달기만하고 도움은 안될듯ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋ아 시간왜케잘가ㅜ
P1 	: 엄마전화와서 ㅋㅋㅋㅋ왜 파바안해주냐고 ㅋㅋㅋ
P1 	: 오늘 2건해주려고
P0 	: ㅋㅋㅋ샐러드 주문합시다
P0 	: 난 남은 밥으로 누룽지 만드는중
P1 	: ㅋㅋㅋ오 맛잇게다
P1 	: 누룽지좀 날려죠
P1 	: 끓여먹게9
P0 	: ㅋㅋㅋ놀러와!!
P1 	: 너차례라고!!!!
P0 	: ㅋㅋㅋㅋㅋ아하! 장마끝나고 가야쥐
P0 	: 남친분 대구 보내줘 ㅋㅋㅋㅋ
P1 	: 걱정? 마 ㅋㅋㅋㅋ메뉴생각해서오도록 ㅋㅋㅋ
P0 	: ㅋㅋㅋ넵! 리스트 다시 작성해야겠군요
