# FILE DATA
ID : MDRW2100004063
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 올림픽 봤어요!!
P0 	: 올림픽 어떤 종목 재밌게 보셨어요,?
P1 	: 저는 야구를 원래 좋아해서 야구랑 양궁, 클라이밍이요!
P1 	: 아 근데 배구도 진짜 재밌었어요
P0 	: 오 야구 원래 무슨 팀 팬이세요??
P1 	: 그래서 배구는 개막하면 직접 관람하러 가려구요!
P0 	: 양궁이랑 배구 최고였어요
P1 	: 저는 NC DINOS요!
P1 	: 야구 좋아하세요?
P0 	: 우와... 저는 재밌게보긴했는데 그래도 다음 올림픽 때 볼 거 같아요 ㅎ ..
P0 	: 저 예전에는 좀 봤었어요
P0 	: 삼성이랑 sk가 잘 할 때...!
P0 	: 근데 어쩜 그렇게.. 둘 다 나란히 못하기 시작하더라구요..ㅎ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저는 2017년부터 좋아했는데 제가 야구장 없는 도시가 고향에 살았어서
P1 	: 대학을 야구장 있는 서울로 꼭 와야겠다는 생각에 열심히 공부했습니다ㅎ...
P1 	: 서울은 스포츠 경기 관람하기 좋은 것 같아요
P1 	: 일단 거의 모든 종목 팀들이 다 있고
P1 	: 경기장도 많고ㅎ
P0 	: 우와 야구 관람하는 거 진짜 좋아하시나봐요
P0 	: 서울에서 직관 많이 하셨어요??
P1 	: 넹넹
P1 	: 한창 직관 많이 갈 때는
P1 	: 그냥 전국에 있는 야구장을 다....!
P0 	: 우와 서울 간 보람있으시겠다
P0 	: 와 대박
P0 	: 제 친구도 야구 엄청 좋아하는데 친구보다 더 짱팬..
P1 	: 요즘은 코로나라서 못 보는 게 아쉽네용ㅜㅜ
P1 	: ㅋㅋㄱㄲ
P0 	: 맞아요 관중석 텅텅 ㅠ
