# FILE DATA
ID : MDRW2100030582
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 경기
device : 스마트폰
keyboard : 기타

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 혹시 배우고 싶으신 악기가 있으신가요??
P1 	: 제가 예전에 클래식 공연을 갔는데
P1 	: 좋더라구요
P1 	: 그냥 악기는 다 좋아보였어요
P1 	: 근데 호흡이 딸려서 부는 악기는 안될 거 같아요
P0 	: 클래식 공연 저도 좋아해요{emoji:♡}
P0 	: ㅋㅋㅋ 그래서 제가 다룰줄 아는 악기중엔 현악기가 많아요 ㅎㅎ
P0 	: 관악기는 정말... 폐활력이 이렇게 부족해요 하게 느껴져요 ㅠ
P0 	: 공연중에 하프를 봤었는데 소리가 정말 아름답더라구요 그래서 하프도 배워보고 싶다는 생각을 했었어요
P1 	: 하프 멋있죠.. 만져보기만이라도 해보고 싶더라구요
P1 	: 그럼 연주 공연도 종종 다녀봤나요?
P0 	: 물론이죠! 들으러 한번씩 갔었어요!
P0 	: 맞아요 하프를 한번만 만 져보고 싶어요.
P1 	: 노래하는 공연보다는 연주하는 공연을 좋아하는 편이었겠네요
P1 	: 전 노래나 연주나 그냥 음악 듣는 건 다 좋아서 장르 안가리고 다녔어요
P1 	: 악기 배울 기회가 주어진다면 해금 배우고 싶어요
P0 	: 해금도 정말 재미있게 배우실거에요!
P0 	: 저는 한번 해볼 기회가 있어서 해봤었는데
P0 	: 예쁜 소리는 내기가 그렇게힘들더라구요
P0 	: 드라마 동이 혹시 아세요?
P0 	: 그때 한참 유행 해서 해볼 기회가 있었어요 ㅋㅋ
P0 	: 작은 소극장에서 하는 노래하는 공연이 있다면 가보고 싶어요!
P1 	: 해금도 도전해봤군요? 와~
P1 	: 유투브에서 해금 연주 영상 들으면 소리가 좋더라구요
P1 	: 줄이 몇개 안돼서 쉬울줄 알았더니 그것도 아니네요
P0 	: 그게 의외로 되게 소리가 높은 편이라서 알 맞는 음을 잘 내야하는데
P0 	: 일정한 힘으로 현을 누르는 게 저한텐 조금 어려웠어요
P0 	: 그렇지만 친구가 연주할땐 정말 아름다운 소리가 나서 부러웠어요
P0 	: &name2&님께서도 한번 배워보시면 어때요?
P0 	: 생각보다 재미있어요!
P1 	: 아.. 정말 배워보고 싶네요
P1 	: 그런데 국악기는 쉽게 학원을 접하기도 어렵고
P0 	: 의외로 백화점 문화센터에 국악기를 클래스가 많아요!
P0 	: 가격도 따로 학원 찾아서 하는 것 보다 괜찮은 경우도 있어요
P1 	: 백화점 문화센터는 생각지 못했네요
P1 	: 알아봐야겠어요
P0 	: 아직 모집중인지 모르겠는데 후반기 계절학기 시작을 아직 안했을 수도 있어서 가능할지도 모르겠어요 :)
P1 	: 좋은 정보네요
