# FILE DATA
ID : MDRW2100041570
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: ㅋㅋㅋㅋㅋ 안그래도 궁금하긴 한데 묻긴 그래서 그냥 있는중
P1 	: 우체국 물류센터에선 하나 챙겨줬는ㄷ
P1 	: (아마 사무실에 있어서 그런듯
P0 	: ㅋㅋㅋㅋㅋ 여기도 하나 줄 거 같은ㄷ0
P0 	: 은데
P1 	: ㅋㅋㅋㅋㅋ 주면.. 뭐 하나 들고 가서 생색을 내는 거죠
P0 	: 맞아 원래 회사에서 주는건 그렇지 ㅋㅋ
P1 	: 칼퇴 예에에 이제.. 이제... 1시간 반 퇴근길
P1 	: 비와서 더 길어질듯
P0 	: 버스 막혀??
P1 	: ㅇㅇ 길이 원래 막히는데 더 막히는거 같아
P1 	: 집가면 8시 되는 건 아니겠지..
P0 	: ㅋㅋㅋ큐ㅠㅠㅠ
P0 	: 비오는날이란...
P0 	: 원래 출퇴근에 시간 얼마나 걸리는데?
P1 	: ㅋ큐ㅠㅠ
P1 	: 원래 안막히고 빠르게 가면 40분 안짝인데
P1 	: 퇴근은 총 한시간 반 걸리고
P0 	: ㅇㅎ
P0 	: 와 퇴근 장난아니네
P1 	: 출근은 다행히 40분쯤 걸려
P1 	: ㅇㅇ...
P0 	: 그나마 다행...
P0 	: 아침잠은 소중해....
P1 	: 6시 칼퇴! 하고 집 들어가면 7시 반이여..근데..오늘은.. 아직도.. 거리에서..
P0 	: ㅇㅎ.....
P0 	: 빨리 퇴근해야하는데
P0 	: 피곤한 직장인을 이만 놓아달라..
P0 	: 오늘도 바쁘니...
