# FILE DATA
ID : MDRW2100033561
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기술직 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저는 먹은거 설겆이좀 하러가유
P1 	: 또뵈요
P0 	: 네네
P1 	: 스벅왔어요 ㅎ
P1 	: 쿠키블루베리 머핀드셔보셨어요?
P0 	: 머핀은 안먹어봤어요
P0 	: 머핀드시게요?
P1 	: 머핀이랑 커피시켰어요
P1 	: 블루베리잼에 상위는 쿠키라 맛있네요
P0 	: 전 초코크레이프ㅋ
P1 	: 바삭하게 달달하게 맛나네요
P0 	: 아메랑 먹긴 괜찮겠어요
P1 	: 따뜻하게 데워달랬더니 더 괜찮은듯요
P0 	: 점심드시고 디저트드시러가셨나요ㅎ
P1 	: 크레이프는 머예요?
P1 	: 케이크?
P0 	: 네
P0 	: 한겹씩 얇게 쌓은 케익이요
P1 	: 딸뤠미 미술학원델다주고 학원옆 스벅에서 끝날때까지 기다릴려구요
P0 	: 커피빈 밀크크레이프 좋아하는데  맛나요
P1 	: 커피빈 매장 아직 있나요?
P1 	: 저희집근처엔 다 없어졌어요
P0 	: 서울에나 좀있고 많이 없더라구요
P0 	: 죄다  스벅천지
P1 	: 네 스벅은 계속 오픈오픈
P0 	: 여기 근방에 4개ㅋ
P0 	: 걸어가는거리에ㅋ
P1 	: 집근처에 스벅있는데
	  집근처 이마트안에 스벅이 또생겼더라구요
P0 	: 신세계꺼라 이마트에도 많이 들어가는듯요
