# FILE DATA
ID : MDRW2100025401
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 점심 메뉴는 정하셨나요?
P1 	: 전 회사 식당에서 먹어서 정할수가 없어요ㅋㅋ
P0 	: 오 구내식당이군요
P0 	: 그럼 아침은 드세요?
P0 	: 출근 전에요
P1 	: 안먹어요ㅋㅋㅋ 중고딩 이후로
P1 	: 아침 일찍 나갔어야 했어서
P1 	: 자연스레 안먹게됐는데
P1 	: 이게 지금보니 간헐적 단식이더라구요?
P0 	: 그러네요.. 속은 괜찮으세요?
P1 	: 넵ㅋㅋ 오히려 9시 이전에 먹으면
P1 	: 배아파요..
P0 	: 아항.. 전 간헐적 단식한다고
P0 	: 아침 거르고 커피로 배채우다가
P0 	: 위가 난리나서
P0 	: 약먹고
P0 	: 그뒤로 아침 챙겨먹어요..ㅎㅎ
P1 	: 빈속에 커피 최악이에요ㅠ
P0 	: 맞아요.. 것도 모르고 한 일년했따가 속만 버려죠..
P1 	: 그래서 출근해서 커피 되도록 마시지 않을려고 합니다
P1 	: 체감되드라구요 빈속커피
P1 	: 몸이 거부하는 느낌?
P0 	: 요새 안먹다 어쩌다 마시니까 그러더라구요.. 근대 매일 마실땐 좋았어요..ㅎㅎ 이상도 모르겠고
P0 	: 저녁은 집에서 드시나요?
P1 	: 네 거진 집에서 먹어요
P1 	: (회사 밥이 맛이 없어요..)
P0 	: 이런.. 점심마다 꼭 먹어야 하는데 맛이 없다니 고역이겠어요
P0 	: 저녁 집에서 드실 때는 시켜먹나요? 해먹나요?
P1 	: 이럴거면 돈으로 주지 싶긴한데
P1 	: 5:5 인듯요
P1 	: 치우기 귀찮은 날엔 시켜먹고
P0 	: 배달앱 쓰세요?
P1 	: 네네 요기요 주로 써요
P0 	: 그렇구나.. 전 배달앱이 없어요
P1 	: 헐
P1 	: 다 해드세요??
P0 	: 주로 해먹고
P0 	: 가끔 가게에서 픽업해서 먹고
P0 	: 배달시키진 않아요
P1 	: 아아 픽업하시는구나
P1 	: 저는 할인 받아먹으려고ㅋㅋ
P0 	: 저도 할인 이야기 들을때마다 앱을 깔아야하나 고민이라니까요
P0 	: 왠지 손해보는 느낌
P1 	: ㅋㅋ얘들은 어떻게 버티나 싶어요
