# FILE DATA
ID : MDRW2100037072
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 경기
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅋㅋㅋㅋ 오 혹시 파파존스도 잘드세요??
P0 	: 파파존스ㅜ 저희동네 유일한매장 망했어요ㅜ
P0 	: 요새안보이던데ㅜㅜ
P1 	: 헐..거기는 절대 안망하는매장인줄알앗는데..
P0 	: 그 브랜드 자체가아마 철수던가
P0 	: 아닐수도요 ㄱㅋ
P1 	: 아 파파이스랑 파파존스가잇나봐요 ㅋㅋㅋ 안가봐서ㅜ몰랏네요 ㅋㅋㅋ
P1 	: 그런데 뭔가 둘 다 맛잇을것같은데 말이죠 ㅎㅎㅎ
P0 	: 둘다 최근에 저희동네엔없는거같아요 ㅋㅋㅋ
P0 	: 저희동네는 청년피자가 인기더라고요
P1 	: ㅋㅋㅋㅋㅋ오..저 궁금해서 메뉴보니까 
	  완전 알찬데요?? 인기잇을만해요 !!! 소고기피자 너무 맛잇겟네요
P0 	: 사실 그 브랜드는 ㅋ광고 모델때매 빵떴죠 ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ오
	  &name1&님의 개인적인 견해는 어떠세요??ㅋㅋㅋ
P0 	: 괜찮아요 배달피자중에서는 상위권
P0 	: 가격은 중상 ㅎㅎ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ 오.. 가성비최강은 어디에요??ㅋㅋㅋ
	  와 진짜 너무 흥미로워요 ㅋㅋㅋ
P0 	: 좀 느끼한거 잘드시면
P1 	: 네!!ㅋㅋㅋㅋ
P0 	: 피자마루 피자치즈만500g올라간피자
P0 	: 그거맛나요
P0 	: 피자가 무거움
P1 	: 헉.. 대박이다 ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 가격도 괜찮고
P1 	: 그 도미노피자의 그것과 다른가요??ㅋㅋㅋ
P0 	: 느끼하면 우린 김치꺼내서같이먹음되죠 ㅋㅋ
P1 	: 와 진짜 대박이네요 ㅋㅋㅋ 저는 최근에 모짜렐라치즈만 왕창넣은 파이?  그거보고 놀랫엇는데
P0 	: 네 1키로 짜리도있어요
