# FILE DATA
ID : MDRW2100024539
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 일상 트렌드>메타버스(가상세계) 서비스

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 언니 오늘 공모주넣었어요?
P1 	: 헉 맞다 잠만
P1 	: 했다ㅋ
P0 	: 이제 했어요?ㅋ
P1 	: 방금했다ㅋ
P1 	: 메타버스ㅋㅋ
P0 	: 얍얍 잘햇어유 ㅋㅋ
P0 	: SK리츠도 들어갔어요?
P1 	: 아니 그건 패스했다
P1 	: 니는?
P0 	: 저도 고민고민 ㅋㅋ
P0 	: 그거는 내일까지래서 ㅋㅋ 일단 보고 들어갈라고요 근데 뭐 올라도 몇백원인것같길래 ㅋㅋ 안할까도 싶어유
P1 	: ㅋㅋ 아바타이야기해야되는데
P0 	: 아바타??ㅋㅋ 뭔 아바타??
P1 	: 친한아바타있나, ㅋㅋㅋ
P1 	: 메타버스ㅋㅋ
P0 	: 친한 아바타?? 그게 뭔데요??ㅋㅋ
P1 	: 뭐라도 던져라ㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ언니 미안한데요 ㅋ ㅋ나 이제 폰이랑 좀 떨어질 시간이 되엇어요
P1 	: 헉
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 어디가나?
P0 	: 네네 ㅋㅋ 집에있어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ좀 눕게요 ㅋㅋ
P1 	: 헉ㅋㄱㅋㅋ
P1 	: 잼있노ㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ웃겨 ㅋㅋ 좀따 ㅌ톡해요 ㅋㅋ
P1 	: 메타버스 책읽고있다 나는 ㅋㅋ 닌 좀누워라
P1 	: 그래ㅋ
P0 	: ㅋㅋ 메타버스책 언니 멋지네요ㅋㅋ
