# FILE DATA
ID : MDRW2100029797
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 경기
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저 사실 그 채널 되게 자주 봤는데
P0 	: 뭔가....... 이런 채널 보는게 괜히 품종묘 소비 조장하는 것 같아서?? 요즘은 잘 안봐요
P0 	: 아무리 입양에 신중하라고 앞뒤로 멘트 달아둬도
P0 	: 그거 보는 사람들이 환상 가지고 하는 건 막을 수가 없잖아요...ㅜ
P0 	: 품종견 품종묘들은 아무리 예쁘고 귀여워도 최대한 미디어 노출 줄이는게 맞는 것 같아요...
P1 	: 그니까 말이에요
P1 	: 그런거 보고 펫샵  더 가는기분이에요
P1 	: 구독자수도 많고 ㅠㅠ
P0 	: 맞아요....ㅜㅜ........ 품종이뭐라고~~~
P0 	: 다들 귀엽고 사랑스러운 애들인데ㅜㅠ
P1 	: 이름 옆에 국화꽃 너무 마음이...
P1 	: 포인핸드에 안락사 당하는 애기냥이들 너무 많더라구요
P0 	: 아 맞아요...ㅜㅜ... 어릴때부터 키우는게 좋다고 샵가는 사람들도 제발 포인핸드 한번만 봐줬으면
P1 	: 와 저희 지역엔 외국인이 자기나라 가면서 개는 버리고 갔데요
P1 	: 웰시코기인데...
P0 	: ???????? 아니 진짜요????.
P0 	: 무슨일이지 이게 너무 충격이에요
P0 	: 근데 대학가에도 그런 일 많대요 외국인들 유학와서
P1 	: 부산인데 그렇데요
P0 	: 외로우니까 동물 입양하고
P0 	: 돌아갈때 버리고가는...
P1 	: 아.. 어린사람일것같기도 ㅜㅜ
P1 	: 제정신이 아니군요
P0 	: 진짜 동물을 무슨 수단으로 생각하는건가 싶어요
P0 	: 걔네도 생명인데
P1 	: 연예인도 자꾸 갈아치우는사람
P1 	: 정말 싫더라구요
P1 	: 그럼 첨부터 데려오질말지
P0 	: 아 맞아요 진짜 무슨 보여주기식도 아니고
P0 	: 첨부터 데려오질말지...
P0 	: 전 연예인들이 그러는게 진짜 꼴보기 싫은것같아요...ㅋㅋㅋ...
P1 	: 변명은 일등급이에요
P1 	: 가족한테 맡기면 단가
P1 	: 개는 평생 처음주인 기다린다던데요 ㅠㅠ
P0 	: ㅠㅜㅜㅜ아이고.... 아 진짜 그런 얘기 너무 마음아파요
P0 	: 이번에 무슨 올림픽 국대도
P0 	: 강아지 파양? 말이 파양이지 버리고 후처리 제대로 안해서 논란됐던 기억이 있네요
P1 	: 아 마져요
P1 	: 정뚝떨
P1 	: 그 펜하 그분두요
P1 	: 이유는 가지가지 해요
P0 	: 오잉 펜하 누구도 동물 파양했어요????
P0 	: 진짜 가지가지한다,,,
P1 	: 그 로건리 떠들썩 했어요
P0 	: 헉....... 전 드라마를 잘 안 봐서 몰랐어요0.0 충격
