# FILE DATA
ID : MDRW2100031463
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경북
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  4
contact_frequency  :  주 3회 이상

P0 	: 최근에 영화 본거 있나?
P1 	: 무스탕:랄리의 여름
P1 	: 터키의 한 외딴 마을에서 평화롭고 자유분방하게 살아가고 있는 아름다운 다섯 자매. 달콤한 첫사랑 진행 중인 첫째 소냐, 둘째 특유의 우직하고 묵묵한 성격을 지닌 셀마, 소녀 감성 넘치는 에체, 착하고 순종적인 누르, 다혈질이지만
P1 	: 저기 배경이 여자는 조신 남성과 접촉하면 문란인거 같더라
P1 	: 어린여자아이가 의구심을 품고 집을 나가고 싶어하는 내용
P0 	: 터키가 이슬람이라 그럴거야
P0 	: 거기도 성 차 별 심해
P1 	: 그런가봐
P1 	: 영화보고 삭제ㅎ
P0 	: 별로더나 ㅋㅋㅋ
P1 	: 폰 용량때문에ㅎ
P0 	: 영화는 괜찮았어?
P1 	: 응 괜찮았어
P1 	: 생각하게 돼더라
	  저 상황에 나라면? 이라고ㅎ
	  난 한국에 태어난걸 다행이라고 종종 생각해
P0 	: 난 끝까지간다 저번에 봤었는데 볼만하더라
P1 	: 그거 신하균씨가 형사로 나오는거? 쩜 무서울거같아서 못보는중ㅜㅜㅋ
P0 	: 신하균 ㄴㄴ 이선균이랑 조진웅
P0 	: 생각보다 안무섭드라 그것보다 둘다 징글징글하다 이생각? 화면이 징그러운게 아니라 둘이 끈질기고 계속 더한 일을 벌여서 ㅋㅋ
P1 	: 너의 후기를 믿고 담에 도전해보마ㅎ
	  잔인한것같아 미뤘었어ㅎ
P0 	: ㅇㅇ괜찮아 ㅋㅋ
P0 	: 영화가
P1 	: 응ㅋ
	  나 지금 유투브 1박2일 보는중ㅋ
P0 	: 오 전에꺼? 아님 요즘 하는 일박?
P1 	: 옛날꺼ㅎ 뜨더라고
P0 	: 아 ㅋㅋ 난 예능은 옛날꺼 못보겠어 ㅋㅋ
