# FILE DATA
ID : MDRW2100006645
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 하지만..하지만 사람 마음이 어쩔 수 없는 거 아닌가요 원래 하지말라고 하면 더 하고싶어지는것처럼..(ㅠ
P1 	: 나도 이런 내마음...알수없다고 정말 ㅅ레기같은발언
P0 	: 진짜 진짜 너무한거 아녀유???
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 진짜 생각해보니 내스급 처음에 먹어달라고 한거
P0 	: 영업하고 다닌거
P0 	: 3년 전이라고
P1 	: wow
P0 	: 그리고 그 성과가 최근에서야 보이기 시작했음
P1 	: 그래서 나 무료분은 봤잖니
P0 	: 하나 둘씩 읽어주기 시작함
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저기요....
P1 	: n년 더 존/버하는 길이 남았네요
P0 	: 내가 돈벌어올게...
P0 	: 딱기다려...
P1 	: 알겠어....돈주면볼게....
P1 	: 네가 준 돈 한 푼 남김없이 내스급에 쓸게....
P0 	: 내가 어떻게든 벌어와볼게
P1 	: (냉동ㅅ레기
P0 	: 리디북스 전권 선물하기 할게
P0 	: 다음 굿즈때 보자
P1 	: 아그럼보죠
P1 	: 까짓거제가한번보죠
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아 ㅋㅋㅋㅋ ㅠㅠㅠㅋ ㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 굿즈보통...
P0 	: 몇만원 이상 써야 ..
P0 	: 이상한거 하나 주기땜시롱
P0 	: 하...내스급 웹툰 나오면 좋겠네요...
P1 	: 아..좋아 갑자기 떡/고/물 받/아/먹/기
