# FILE DATA
ID : MDRW2100023999
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 네이버에서요?
P0 	: 네네 !
P1 	: 저 네이버에서 멸균우유랑 건강기능식품, 운동기구 등등 샀어요 ㅎㅎ
P1 	: 단백질 그것도 샀네용 가루로 된거 프로틴
P0 	: 오오 완전 건강 물품 사셨네욬ㅋㅋ !
P0 	: 그 단백질쉐이크요??
P1 	: 네네 맞아요 살까말까 좀 고민 했는데
P1 	: 얘는 포인트가 되게 쎄서 쟁여둘겸 그냥 샀네요
P0 	: 오 혹시 어디 브랜드꺼에요 ??
P1 	: 뉴욕웨이요 ㅋㅋㅋ
P1 	: 얘가 가성비 괜찮더라고요?
P0 	: 평소에 드시던건가요 ???
P1 	: 제가 처음 먹어봤을 때 이거로 시작해서
P1 	: 맛도 괜찮고 해서 그냥 쭉 먹었어요 후기도 많아서요
P1 	: 왜용?
P0 	: 저도 프로틴쉐이크 하나
P0 	: 사려고해서요!
P0 	: 단백질 향? 나는걸 안좋아해서 ㅋㅋㅋ
P0 	: 도전을 못하겠네요
P1 	: 아 ㅋㅋ 그거 은근히 다 날걸요?
P1 	: 근데 전 그정도면 괜찮은 거 같더라구요
P1 	: 단맛이 맛있게 나는건 다 설탕 들어간거니까 피하세요 ㅜ
P0 	: 역시 맛있는건 설탕덩어리군요 ㅜㅜ
P0 	: 저 그 어디더라 마프?
P0 	: 거기 프로틴도 먹어보고싶어요
P1 	: 아 마이프로틴?
P1 	: 거기가 원래 젤 유명하긴해요 무슨 품질도 좋다고 소문 나있고
P1 	: 근데 할인 자주해서 정가로 사면 바보래요 ㅋㅋ
