# FILE DATA
ID : MDRW2100047144
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 네네ㅎ
P1 	: 해물도좋죠ㅎㅎ
P1 	: 전 다좋아해요ㅎ진짜
P0 	: 해물찜는 해물탕은 냠냠 잘도 먹어요 ㅎㅎ
P0 	: 잘먹는게 좋아요
P1 	: 살쪗었던거보면 아실꺼에요ㅎㅎ
P1 	: 엄청 많이먹어서ㅠ
P0 	: 저처럼 가리면 안좋음
P1 	: 그래서 점심을 안먹어요ㅎ
P0 	: 전 가려도 살찌던데요 ㅋㅋ
P1 	: 그래도 가리시면 날씬하잖아요ㅎ
P0 	: 저도 관리 할땐 두끼
P1 	: 세상부럽ㅎㅎ
P1 	: 전 한끼요ㅎ
P1 	: 요즘 관리안하니깐 보기가흉하네요ㅎ
P0 	: 저도 최고치는  남자만큼 나갓어여 ㅎㅎ
P1 	: 진짜 결혼하고 나서 엄청 쨨네요ㅎ
P1 	: ㅎㅎㅎㅎ
P1 	: 그러실때가 있으셨구나
P1 	: 남자몸무게 많이나가는데ㅎㅎㅎ
P0 	: 남자들 보통 결혼하면 찌는게 공식 같든데
P1 	: 이제 전 아내지만
P1 	: 밥을 잘 안차려줬어요ㅎㅎ
P0 	: 앗 ㅡㅁ ㅡ
P1 	: 그래서 인스턴트 위주로 식사하고ㅎ
P0 	: 에공 ㅜㅜ
P1 	: 아무래도 애기키우다보니 스트레스도 많고 사이도 그렇게 좋지가 않아거
P0 	: 지금은 좀 챙겨 먹어요?
