# FILE DATA
ID : MDRW2100032465
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 충북
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 저녁은 먹엇어?
P1 	: 난 저녁 늦게 먹는 편이야
P1 	: 20시쯤?
P0 	: ㅇㅎ 지금 먹겠네 나는 두부 먹었어
P0 	: 밥이랑
P1 	: 맞아 나도 먹었어
P1 	: 간단하게 먹네?
P0 	: 간단하진 않은데? 두부 어제 시장에서 사온거
P0 	: 맛있어
P0 	: 뭐먹었는데?
P1 	: 난 미역국 밥 뭐 반찬들?
P1 	: 맛있지 두부
P0 	: 미역국? 맛있는데
P0 	: 소고기??
P1 	: 응응 맛있지
P1 	: 맞아 소고기
P0 	: 미역국은 소고기가 제일 맛있더라
P1 	: 맞아 너 먹을 줄 아는구나
P1 	: 좋아좋아
P0 	: 근데 또 미역국 엄마꺼만 맛잇어
P0 	: 다른사람껀 별로더라
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ익숙한게 최고지
P1 	: 청주 맛집 추천해줘
P1 	: 잘 모르나?
P0 	: 본토막창 맛있어!
P0 	: 청주 맛집은 삼미집 같아
P0 	: 또 부추칼국수도 맛있고
P0 	: 본토막창도 좋고
