# FILE DATA
ID : MDRW2100013654
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 태품영향
P0 	: 마자요
P0 	: 태풍때문에 그렇죠
P0 	: ㅎㅎㅎㅎㅎㅎㅎ
P0 	: 비가 많이오면
P0 	: 기분이 안 좋더라구요
P0 	: 저는 해쨍쨍한게 좋아여
P1 	: 싫어요나도
P0 	: &name2&님은요
P1 	: 끈적끈적
P0 	: 그치만 지구온난화 때문에
P1 	: 지금 날씬 어때요
P0 	: 앞으로도 날씨가 이럴겅요
P0 	: 지금
P0 	: 해가쨍쨍하네요
P0 	: 기분이 좋아요
P1 	: 북극곰 이 아파요
P0 	: 거기는요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 기부해야해요
P1 	: 하시나요
P1 	: 란하시죠
P1 	: 기부해야
P1 	: 북극을 살리고
P1 	: 그래야
P0 	: 날씨가
P1 	: 지구온ㄴ난화도 없어져요
P0 	: 요즘
P0 	: 안 좋ㄴ요
P0 	: 여름
P0 	: 좋아라세여
P0 	: 저는 어릴 때는 좋아햇는ㄷ0
P0 	: 나이드니까
P0 	: 더운게 싫으네여
P0 	: 요즘은
P0 	: 가을이 좋아여
P0 	: 어릴 때는 가을이
P0 	: 별루엿는데
P0 	: 크다보니까
P0 	: 가을이 최고네여
