# FILE DATA
ID : MDRW2100020792
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>그 외 사회적 관계
intimacy  :  3
contact_frequency  :  주 1~2회

P1 	: 지역경제과 고양이똥치우기팀보내버린다
P0 	: 앗
P1 	: 좋니
P1 	: ㅋㅋㅋㅋ
P0 	: &name3&이도벅찬데
P1 	: &name3&이똥마니쌈?
P0 	: 보이는데는안싸
P0 	: 냄새는나
P1 	: 하긴 산에싸고오면되지
P1 	: ㅋㅋㅋㅋ
P0 	: 온군데가 화장실~
P0 	: 고양이vs강아지
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 선탹필수?
P0 	: ㅇㅇ
P1 	: 하..내한몸도 기르기힘든데
P1 	: 고...
P1 	: 가 손덜가겠지?
P0 	: 얼룩이or치즈
P1 	: 누군지몰러 이 캣맘아
P1 	: 왠지.얼룩이는.점박이고 치즈는 노랑이일거같군!!!
P0 	: 마자
P1 	: 우리할머니네 아가 죽었어..ㅠㅠ
P0 	: 헐..
P0 	: 고모할머니?
P1 	: 아가라고 존예 흰고양이이ㅛ었는데
P1 	: 이름도해필아가야
P0 	: 헐...
P0 	: 아가야..
