# FILE DATA
ID : MDRW2100024688
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 경기
device : 스마트폰
keyboard : 기타

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 곧 저녁인데 메뉴는 정하셨나요?
P1 	: 전 보통 도시락 싸가지고 다녀요
P0 	: 아.. 그럼 점심 저녁 다 도시락 먹나요?
P1 	: 네... 같은 밥, 같은 반찬이죠
P0 	: 도시락 주문인가요? 집에서 싸는 건가요?
P1 	: 걍 밑반찬이랑 적당히 그렇게
P1 	: 집에서 제가 싸요
P0 	: 부지런하네요..
P0 	: 도시락 싸는게 쉽지 않은데
P1 	: 매일이 반찬고민이긴 한데요
P1 	: 나가서 사먹는게 더 귀찮아요
P0 	: 요즘같은 떄는 나가서 먹는 건 위험하기도 하죠
P0 	: 그럼 집밥 먹는 거랑 똑같네요.. 직접 싸는 도시락이니까
P1 	: 그렇긴 한데요
P1 	: 반쯤 레토르트예요
P1 	: 백종원의 은총을 받고 있죠
P1 	: 만능 양념장 최고ㅠㅠ
P0 	: 반조리라도 그게 어디에요
P0 	: 백종원요리 즐겨 보는군요
P0 	: 저도 봅니다 티비로
P0 	: &name2&님은 유투브로 보나요?
P1 	: 전 보통 걍 검색해요
P1 	: 그럼 누군가가 글로 정리해놨기때문에
P1 	: 유튜브는 완전 초보일땐 유용하지만  중수쯤 되면 너무 시간이 많이 걸린달까
P0 	: 아.. 블로그 보는군요
P1 	: 네, 유튜브도 보긴 해요
P1 	: 재밌어서
P0 	: 유투브 몇번 봤지만 아직은 티비가 익숙해서 티비프로를 봐요
P1 	: 티비 많이 나오시죠
P1 	: 전 근데 요리하시는것보단 먹방하실때가 좋아요
P0 	: 티비 프로도 여러개 하잖아요.. 그래서 그거보고 참고 해요
P0 	: 저번에 눈꽃만두였나 그거 따라해봤어요
P1 	: 우왕
P0 	: 요리를 좀 하다보니까 티비에서 하는 거 보면 어떤 건 따라하기 쉽겠더라구요
