# FILE DATA
ID : MDRW2100033762
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 하 씁 님..
P0 	: 옙..
P1 	: 저 할말있는데...
P0 	: 쏘리..오초..
P0 	: 네
P1 	: 저 지금 상크스 팔되어서 진짜 왼ㅋ족팔이...들기가 힘들어졌는데 네일 이어가도 되나요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아나 물론이죠
P1 	: 아 통증 새벽되니까 대박네요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 낼까지 쉬셔도 되어요
P0 	: 괜찮을 때 불러주시라구요
P0 	: 기다릴테니까(망부석)
P1 	: 고바삭에 진심인데 하. 지금 음식한테...하...
P1 	: 하 씁 아뇨 이따 돌아옵니다 저녁에.
P1 	: 저에겐 토끼같은 님이 기다리고 있으니까(찡긋
P0 	: 그래요 갈댕댕(?)
P1 	: 하...씁..
P1 	: 아놔
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 하 찰떡같이 알아들으시고
P0 	: ㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ(모에화 지지않아)
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 님 푹쉬세요 쫀밤더ㅣ시고 상크스는 갑니다....
P0 	: 주무시라고요 오늘 비맞고 고생하셨는데
P0 	: 어섴ㅋㅋㅋㅋㅋㅋ
P0 	: 굿밤
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ상크스는.갑니다.
P1 	: 예아 굿밤
