# FILE DATA
ID : MDRW2100005743
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 시사(정치, 경제, 사회)>모더나 600만회 분량 순차 공급

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 제주
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 오 부작용없으셨나요
P1 	: 네 다행히 팔만 아프고 부작용없이
	  잘 지나갔어요
P1 	: 2차는 좀 더 아프다고 하니
P1 	: 걱정이 되지만
P1 	: 잘 넘어갈꺼라 생각하고 있어요;;
P0 	: 네네
P0 	: 저도 긴장되요
P0 	: 화이자 맞고 싶은데 모더나 둘중 안정해졌어요
P1 	: 아 내일 정해지나봐요
P1 	: 전 모더나 맞고
P1 	: 신랑은 화이자 맞았는데
P1 	: 다 잘넘어갔어요
P1 	: 너무 걱정마세요^^
P0 	: 네네
P0 	: 백신이 대해서 거부감보담 감사함이 많으시군요
P1 	: 전 처음에는 절대 안맞겠다고 생각했는데
P1 	: 확진자가 너무 많이 나오니
P1 	: 걱정되더라구요 
	  어차피 마스크는 잘쓰고 있지만
P0 	: 네에
P1 	: 제가 일을 해서 밖에서 밥을 먹으니 
	  내가 안걸려야 애들이 안전하다는 생각에
P1 	: 맞아야된다는 생각이 들어서
P0 	: 물량이 부족해서 3주이상 텀이 생긴 것 같은데
P1 	: 급하게 잔여예약걸어서 맞았어요
P1 	: 네 원래 4주였는데
P1 	: 6주로 미뤄져서
P0 	: 더 빨리 끝내고 싶어요
P0 	: 잔여예약 잘 안되던데 대단하세요 ㅎㅎ
P1 	: 네 저도 4주 차에 맞았으면 좋았을텐데
P1 	: 물량공급때문에 늦어지니
P1 	: 좀 화가 나더라구요
P1 	: 운좋게 잔여가 되서 잘 맞고 왔어요^^
P0 	: 모더나 공급처가 큰 회사인 듯 해요
