# FILE DATA
ID : MDRW2100047219
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전북
principal_residence : 대전
current_residence : 세종
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기술직 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 아직도 밖에 비오나요?
P1 	: 여긴그친거같아요
P1 	: 습하고 덥네요
P0 	: 앗 진짜요?
P0 	: 여기도 그친 것같은데
P0 	: 비와서 그런지 시원해요
P1 	: 집은 에어컨켰어요 선풍기도ㅎ
P0 	: 오 완전 시원하겠어요
P0 	: 계절상 가을이지만
P0 	: 진짜 가을 날씨가 얼른 왔으면 좋겠네요
P1 	: 비그치고남 선선해지겠죠?
P0 	: 그러겠죠? 그랬으면 좋겠네요ㅎㅎ
P0 	: &name2&님은 제일 좋아하는 계절이 무엇인가요?
P1 	: 전 가을 봄 두계절이요
P1 	: &name1&님은?
P0 	: 전 가을 겨울이요ㅎㅎ
P0 	: 가을이랑 봄은 짧아서 아쉬운 것같아요
P1 	: 올해도 유독짧을것같은 예감이^^
P0 	: 갈수록 짧아지는 것같더라구요ㅠ
P0 	: 비염은 없으세요? 그때가 간절기라 비염 있으신 분들이 힘들어하더라고요
P1 	: 네 전 다행히 건강체질이여서 잔병치레는 안하더라구요
P0 	: 다행이네요
P0 	: 내일은 비 안온다던데
P1 	: 비염있으신가요?
P0 	: 그랬으면 좋게썽요
P0 	: 전 없어요!
P1 	: 다행ㅎ 담주까진 비비비 던데요
P1 	: 비오는거 지긋지긋하네요
P0 	: 헐 태풍 때문이겠죠ㅠ?
P0 	: 그래도 이번 여름엔 장마가 짧아서 좋긴 했지만..ㅎㅎ
P1 	: 태풍은 지나갔대요
