# FILE DATA
ID : MDRW2100015089
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 주제 바꾸면 피드백 제출 두번씩 하나봐요
P0 	: 그러게요 이게 그렇더라구요
P1 	: 식단관리 요즘 뜸하게 하는데 전엔 철저하게 했어요!
P0 	: 아 뭐 드세요 샐러드?
P1 	: 일단 탄수화물 적게! 단백질 많이! 지방 많이!
P1 	: 이것만 지켜요~!
P0 	: 오 전 다이어트도시락 많이 먹었었는데
P0 	: 그렇게 원칙만 지키는게 좋은거같아요
P1 	: 다이어트 도시락.. 효과 있엇나용
P0 	: 그냥 적은밥...ㅋㅋㅋ
P1 	: 떡, 빵, 밥, 밀가루 이런 것만 아예 금지 시켜도 효과 있는 것 같아요
P1 	: 그리고 하나 더! 식사시간도 지켜요
P0 	: 근데 그거만 먹게되니까 효과는 봤어요
P0 	: 식사시간이요??
P1 	: 전 밤 8시 ~ 낮 12시는 물 빼고 아무것도 안먹어요
P1 	: 간헐
P0 	: 아 정말요?? 그거 지키는게 좋은거같애요
P1 	: 간헐적 단식하면 좋대요
P0 	: 적 단식??
P0 	: 오
P0 	: 저도 그래야겠어요 ㅜ
P1 	: 그래서 저 이걸로 체지방 어마무시하게 뺐어요
P0 	: 담달부터백신맞고 다시 헬스하면
P0 	: 꼭
P1 	: 콜레스테롤도 정상으로 돌아오고 ㅜㅜ
P0 	: 와
P1 	: 중성지방 이런것도 다 정상으로 돌아왔어요
P1 	: 당 수치도요..
P0 	: 몇시에 자세요?
P0 	: 늦게자면 배고플거같아요 ㅋㅋㅋ
P1 	: 저는 좀 늦게 자는 편이에요 새벽 1시 정도?
P0 	: 와 효과가 장난아니네요
P1 	: 제가 저녁 가끔 일찍 먹을 때 있는데 그럴때 배고프긴 해요ㅜㅜ
P1 	: 그럴 때는 아이스아메리카노 같은 거 한잔 마셔요
P1 	: 커피가 0칼로리에 가까운 거 아셨어요?
P0 	: 와 아아가 진짜 다이어트에 좋다하더라구요
P1 	: ㅋㅋㅋㅋㅋㅋㅋ그래서 제 아침은 아아 에요
P1 	: 출근 하면 제일 먼저 하는 것 = 아아 만들기.
P0 	: 저도 아아 마시며 운동해야겠어요 ㅋㅋ
P0 	: 뭐지 체지방 태우는 효과도 있다고 들은거같아요
