# FILE DATA
ID : MDRW2100045104
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 음원사이트 성적에 연연할거 아니고
P1 	: 찐으로 음악감상 목적이면
P1 	: 유튭뮤직이ㅇㅇㅇㅇ...
P0 	: ㅇㅇㅇㅇ
P0 	: 저는 이제 사이트 ㅇㄴ돌리고
P0 	: 그냥 다운만 받아여 총공할때
P0 	: 이제는 나이먹어서
P0 	: 힘쓰는거 힘들더라
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그리고 폰배터리아까워
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 나 말고 다른 팬들이
P1 	: 해줄거야...
P0 	: ㅇㅇㅇㅇ
P0 	: ㅈ전 믿어여
P0 	: 저ㅏㄹ고
P0 	: 많은 분들이있어여
P1 	: 맞아요
P0 	: 이제 나이먹어서
P1 	: 그리고 노래 성적은 솔직히
P0 	: 스밍같은걸로 스트레스 받는건
P1 	: 방셉엔(맞나) 급 아니면
P0 	: 이젠더이상 네이버
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 팬들이 백날 돌리는 것보다
P0 	: 아 그러고보니
P0 	: 친구
P0 	: 신창친구
P0 	: 새로운 덕질대상이
P0 	: 엔시티더라구요..
P1 	: 엇
P0 	: 티는 안내는ㄴ데
P0 	: 주변사람들의 덕질이
P1 	: 쉽지않은 길을
P1 	: 가시는군요...
P0 	: 다 제겐 가시밭길...
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 뭐 그래도 떡밥은 많을테니...
