# FILE DATA
ID : MDRW2100007590
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 형제 있으세요?!
P0 	: ㅋㅋㅋㅋㅋ저 남자형제 있어요! 오빠!
P0 	: 웹웹님은요?
P1 	: 헐 저도 오빠!
P1 	: 나이차이 얼마나 나요?
P0 	: 저 2살차이요
P1 	: 오 거의 뭐
P1 	: 투닥거리며 자라는 나이군요
P1 	: 저는 8살차이라
P0 	: 와
P1 	: 그냥 맞고 자랐어요
P1 	: 일방적인 구타
P0 	: 저 나이차이 많이..나는...거..
P1 	: ㅋㅋㅋㅋㅋㅋㄴㅋㅋㅋㅋㅋㅋ
P0 	: 부럽다고 하려했는데
P1 	: 앗
P0 	: 저런...
P1 	: 아니에요 그래도 착한거는 있어요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ보통은 좀 챙겨주지 않냐고요~~!
P1 	: 결혼해서 집나간거.
P0 	: 와.
P1 	: 그거 하나 잘했다.
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 오빠 2살 차이면 좀 챙겨주나요
P0 	: 쓰읍...
P0 	: 씁..
P1 	: 오케이
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아니 근데 8살 차이면 좀 좋지 않나요?
P1 	: 어..떤게요?
P0 	: 약간 뭐라해야하지 공부나 이런거에서 도움 주지 않나요?
P0 	: 8살...차이니까...?
P1 	: 엇 공..부요
P0 	: ..
P0 	: ....
P1 	: 근데 저희 오빠는 공부잘하고
P1 	: 저는 안했어서
P1 	: 뭐라해야하지
P1 	: 공부못하는걸 이해를 못하는
P0 	: 아..
P0 	: 아;
P1 	: 오캐이.
P0 	: 오케이.
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 근데 그 밥은 잘 챙겨줚오요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아 헐 좋네~
P0 	: 밥 잘챙겨주면 최고잖아요
P0 	: 좋네요 아주 좋아
P1 	: 2살 오빠는
P1 	: 어케
P1 	: 뭐 좋은점 있너요
P1 	: 아니 언니는 사실 좋은점 많은데
P1 	: 오빠는 찾기가 힘든거같아요
P1 	: 아 당구 알려준거 그거는 좋았어요
P0 	: 저희오빠는 수학을 진짜 잘했는데.... 제가 수학 못하는 걸 이해 못했어요 공식대입하면 맞힐 수 있는걸 왜 못하냐고...
P0 	: 아놔 전 비난하고있는데
P1 	: 쓰읍..
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 이 타이밍이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아놔!!
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 오빠 좋은거 썰 풀어줘요
P1 	: 2살차이 오빠라
P0 	: 전..... 좋은.....썰이...
P0 	: 음..
P1 	: 저는...저도..
P0 	: 인라인스케이트 같이 타줬어요
P1 	: 와우
P0 	: 애걸복걸했거든요
P1 	: 잘타나봐요
