# FILE DATA
ID : MDRW2100026329
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세용 대학생이신가요?
P1 	: 안녕하세요~ 대학 졸업했습니다 허허
P1 	: 학창시절 기억에 남는 추억이 있으신가요?
P0 	: 저 밤새면서 과제하는게 추억이네요 ㅎㅎ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ과제의 추억...
P1 	: 진짜 아예 안 자고 새신 적도 있으세요?!
P0 	: 엄청 많아요 ㅋㅋㅋ
P0 	: 밤새서 PPT 준비하고 발표한적두 많네요
P0 	: 누가봐도 폐인인 얼굴로 ㅠㅠ
P1 	: 헉... 엄청 힘드셨겠어요 잠 안 자면 머리가 팽팽 돌던 기억이 나는데
P1 	: 과제량이 한가득이셨나봐요..!
P0 	: 네 ㅠㅠ.. 교수들이 미웠죠 ㅋㅋㅋㅋ
P0 	: 과 어디셨어요??
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ맞아요
P1 	: 전 부동산과였는데 과제량이 그다지 많진 않았어요
P1 	: 추억 미화인가
P1 	: 아무튼 적었어요..! 그랬을 거예요
P0 	: 와 부럽네요 ㅋㅋㅋ
P1 	: 이과셨나요?! 폭풍과제를 하신 거 보니
P0 	: 저는 디자인과요 !!
P1 	: 아 공포의 미대
P0 	: 예체능이요~!
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 미대는 시험 대신 과제로 틈틈이 평가되는건가요?!
P0 	: 맞아요 시험대신 과제제출이랑 발표가 많았어요!
P0 	: 시험없는건 좋았죠 ㅎㅎ
P1 	: 그래서 밤을 자주 새셨구나 아이구
P1 	: ㅋㅋㅋㅋ아 맞아요 저희쪽이 시험볼 때
P1 	: 예체능은 숨 돌리고 있던 것 같았어요
P0 	: ㅋㅋㅋㅋ 시험만되면 과제물 발표하고 끝이라 부담은 덜었던고같아요
P1 	: 저도 배우고싶었던 사이드 강의로 미대수업 들은 적 있는데
P1 	: 맞아요 맞아요
P1 	: 고작 한두 전공만 들었는데도 평일에 과제때문에
P0 	: 어떠셨어요!?
P1 	: 일정에 쫒기더라구요ㅋㅋㅋㅋㅋ
P1 	: 한두 전공도 이런데 아예 본전공이신 분들은
P0 	: 아 ㅋㅋㅋ 힘들죠 ㅠㅜㅜ
P1 	: 상상도 안 되네요 어우
P1 	: 대단하고 리스펙
P0 	: 부전공으로 들으신분들도 보면 엄청 대단하신거같아요
P0 	: 역시 대단하구 리스펙
P1 	: ㅋㅋㅋㅋㅋㅋ아유 감사합니다
P1 	: 서로 좋군요
