# FILE DATA
ID : MDRW2100006172
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 시사(정치, 경제, 사회)>갤럭시 폴드3, 플립3 흥행 예고

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 충북
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 오!
P0 	: 저 플립 갖고싶어요
P1 	: 요새 난리더라고요
P1 	: 이쁘다고
P0 	: 저 전시행사하길래 봤는데
P0 	: 와
P0 	: 너무 예뻐요
P1 	: 헐 실물 보셨군요
P1 	: 너무 궁금해요
P0 	: 눼눼!!!!!
P0 	: 색도 너무예쁜
P0 	: ㅠ
P1 	: 무슨색이 젤 이쁜가요
P1 	: 궁금하네유
P0 	: 전 개인적으로 라벤더요!
P1 	: 오 라벤더가 젤 인기 많은가요 언급은 많던데
P0 	: 아무래도
P0 	: 그게 제일 예뻐요ㅋㅋㅋㅋ
P1 	: 아 역시 예상대로네요 ㅋㅋㅋㅋ
P1 	: 폰 신제품 나오면 사는 타입이세요?
P0 	: 음 ㅎ 막 그렇진 않아요
P0 	: 돈없어서...
P0 	: ㅠ
P0 	: 그냥 갖고싶다!!! 하다가 포기해요
P0 	: 산지 2년밖에 안되서 더 쓰려고요
P1 	: 저도 원래 그런데 플립은 관심이 가더라고요 ㅋㅋㅋㅋ
P0 	: 그쵸ㅋㅋㅋㅋ
P0 	: 요즘 꾹꾹 참아보고있어요ㅠ
P0 	: 보고왔더니 더 갖고시픈
P1 	: 그 앞에 화면 뜨는거 너무 신기해요
P1 	: 배경화면 벌써 엄청 나오던데
