# FILE DATA
ID : MDRW2100002217
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 기타 사회 생활 및 활동>종교

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 너는 종교가 있니
P1 	: 너는 종교가
P1 	: 없어 나는 없어
P1 	: 너는 종교가 있던가?
P0 	: 어 어떻게알았어?
P0 	: 나도 없어
P1 	: 너는 불교쪽에 가깝지?
P1 	: 우리가 보낸 세월이
P0 	: 아무래도 굳이 따지자면
P1 	: 아 없어?
P0 	: 불교에 가깝긴하지
P0 	: 절에가면 마음이 편안해지긴해
P1 	: 오 나는 절에 가 본 적이 별로 없어.
P1 	: 너는 어느 절에 가봤니?
P0 	: 아무래도 동화사가 가까우니까
P0 	: 가본적있어
P0 	: 아니면 불국사도 사실 절이니까
P1 	: 나는 예전에 현장학습으로 간
P1 	: 나도 동화산데
P1 	: 너도 절에 즐겨가지는 않구나.
P1 	: 나도 불국사도 가봤어.
P0 	: 즐겨가기엔 절이 머니까
P0 	: 템플스테이 같은거는 해보고싶지않아?
P1 	: 그건 조금 걱정이 되네
P1 	: 바닥에서 자는 게 좀 힘들어서.
P1 	: 근데 나 절밥은 먹어보고 싶어.
P1 	: 아직 한번도 먹어본 적이 없거든.
P0 	: 나두 절밥 비빔밥
P1 	: 절밥 먹어본 적 있니?
P0 	: 근데 발우공양인가
P1 	: 맛있다던데.
P0 	: 그건 무서워
P1 	: 그럼 애초에 밥을 조금만 받겠어.
P1 	: 단무지는 안먹어도 될까?
P0 	: 좋은생각이다
P0 	: ㅋㅋㅋㅋㅋㅋ어어 안받으면 ㅠ
