# FILE DATA
ID : MDRW2100002626
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 제주
current_residence : 제주
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 여행은 어디 가 보셨어요?
P1 	: 작년에는 여수에 갔어요
P1 	: 올해 휴가는 아무데도 못갔네요
P0 	: 저도 코로나 이후로는 아무데도 못가봤네요.
P0 	: 평소에 여행가고 싶은 곳 있으세요???
P1 	: 휴양지에 가보고 싶어요
P1 	: 하와이 괌 그런데요
P1 	: 한번도 안가봐서요
P0 	: 크 저도 하와이 가보고 싶어요
P0 	: 그렇게 좋다고 하더라고요...
P1 	: 티비 화면으로만 봐도 너무 좋아보이잖아요
P0 	: 쇼핑이면 쇼핑... 레져면 레져..
P0 	: 주변에 결혼하면서 신혼여행으로 다녀온 애들이
P0 	: 그렇게 좋다고 꼭 가보라고 추천하더라고요
P1 	: 제친구는 근데 하와이로 갓는데 산불이 나서
P0 	: 단점 하나는 유명관광지다 보니 호텔들이 배가 불러서 좀 컨디션이 안좋다? 이거 하나래요..
P1 	: 호텔도 못들어갈뻔햇대요
P0 	: 왁!!!산불이요??????
P0 	: 저는 신혼여행으로 몰디브 다녀왔거든요.... 아무것도 안하고 휴양하려고.....
P0 	: 몰디브도 엄청 좋습니다.
P1 	: 좋을것같아요
P1 	: 이름부터가 뭔가 휴양이네요
P0 	: 거긴 조그마한 섬하나가 리조트 하나라....
P1 	: 아 그렇게 작아요?
P0 	: 정말 할께 아무것도 없이 스노쿨링 낚시 뿐이에요...
P1 	: 스노쿨링 하셨어요?
P0 	: 네네 큰섬도 있긴 한거 같은데.. 보통 섬하나에 리조트 하나더라고요..
P0 	: 상어랑 거북이랑 같이 스노쿨링 했죠{emoji:♡}
P1 	: 티비보면 막 엄청깨끗해서 물고기 다보이고 그런던데
P1 	: 와 상어도 있나요
P0 	: 네네 그렇더라고요...
P1 	: 너무 좋으셨겠어요
P0 	: 네 해초먹는 상어가 헤엄쳐 다니더라고요..
P1 	: 여행은 역시 그런곳으로 가야해요
P0 	: 제인생 마지막 휴식이였나 봅니다..
P1 	: 설마요ㅋㅋ
P0 	: 애들 다클때 까지는 못갈곳으로 골라서 갔는데..
P0 	: 정말 못갈꺼 같아요ㅠㅠㅋㅋㅋㅋ
P1 	: 애기들 데리고도 많이 가던데
P0 	: 음..... 애들이 너무 가만히 있지 못해서...
P0 	: 비행시간 긴곳은 못가겠더라고요.
P1 	: 아 하긴 비행기가 문제겠네요
P0 	: 괌이 아이들데리고도 많이가고... 태교여행으로 많이가는데...
P0 	: 신혼여행으로 가는 친구들이 너무 힘들었다고 하더라고요..
P0 	: 비행내내 아이들 울고... 칭얼대서.ㅠㅠㅠ
P1 	: 아아 그렇군여
