# FILE DATA
ID : MDRW2100041979
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요!  저녁은뭐드시나용!
P1 	: 오옹
P1 	: 감자깡을 먹었어요
P1 	: 저녁은... 뭘먹을까요...
P1 	: 집에카레가있어서 점심으로먹었는데...
P1 	: 저녁을 또 카레로먹어야겠죵...ㅎ..ㅎ
P1 	: &name1&님은 뭐드시나용
P0 	: 저도 주말내내 김치찜만 먹었습니다..한솥해주셔서...
P0 	: ㅋㅋㄲㅋㅋ
P0 	: 저는 햄버거 먹구있습니당!
P1 	: 헐 김치찜...
P1 	: 최고죠
P1 	: 햄버거..
P1 	: 맛나겠네요ㅠㅠㅠㅠ
P1 	: 어디햄버거드시나용
P0 	: 버거킹행사하길래 시켰습니다!!  ㅎㅎ
	  평소에 배달은 잘 안시키시나용?
P1 	: 아뇨..엄청시키죵...
P1 	: 근데
P1 	: 어느샌가 돈이없어서
P1 	: 집에있는집밥을 먹게되었네요...껄껄...
P1 	: 버거킹좋아하시는군요
P1 	: 저는 kfc좋아해용
P1 	: 뭔가 치킨버거같은걸
P1 	: 좋아한답니당
P0 	: 사실 저는 맥도날드 제일 좋아해요ㅎㅁㅎ!
	  오늘은 행사를하여..싸게먹으려구..ㅎㅅㅎㅋㅋㅋㅋ
	  kfc좋아하시는군요!!!  역시치킨버거는 kfc죠..!!
P0 	: 진리진리
P1 	: 오오맥도날드
P1 	: 맛있죠
P1 	: 맥날은그리고
P1 	: 맥플러리가
P1 	: 너무맛있는...
P0 	: 악ㅋㅋㅋㅋㅋ맞아요..후식으로먹으면 완벽마무리
P1 	: 크으 ...
P1 	: 셱셱은
P1 	: 안좋아하시나요
P0 	: 안먹어봤어요궁금합니다ㅜㅜ
