# FILE DATA
ID : MDRW2100025558
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 기타 사회 생활 및 활동>종교

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 부산
principal_residence : 제주
current_residence : 제주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 음 안녕하세요
P1 	: 안녕하세요
P1 	: 종교가 있나요?
P0 	: 저는 카톨릭이에요 무늬만 ㅋㅋ
P0 	: &name2&님은 어떠세요?
P1 	: 언제갔드라..
P1 	: 기독교인데
P1 	: 3년된듯해요
P1 	: 코로나 핑계^^
P0 	: 모태신앙 이신가요?
P0 	: 저도 성당 안간지 삼년은 된거같아요 ㅋㅋ
P1 	: 네 아버지가 장로에요
P1 	: 종교는 부모님의 선택이어서
P1 	: 점점 마음이 안가더라구요
P1 	: 그래도 하나님의 존재는 믿어요ㅎㅎ
P1 	: 천주교 좋죠. 하나의 뿌리같은 느낌
P0 	: 저도 어렸을때는 주일학교도 가고 그랬는데
P0 	: 근데 지금 예배보나요?
P1 	: 아니요. 지역에 따라 일부만 모이거나
P1 	: 온라인만 가능할거에요
P0 	: 저희는 폐쇄됐다 소리듣고 그 이후안갔네요
P0 	: 신부님이 맘에 안드신다나 ㅋㅋ
P1 	: 종교를 갖는건 좋은듯해요
P0 	: 뭔가 의지할 곳이 있어지는거겠죠? ㅎㅎ
P0 	: 평소에 기도하세요?
P1 	: 밥 먹기전에 해요ㅎ 습관적으로요
P0 	: 그정도시면 훌륭하시네요
P0 	: 저는 음 저 필요할때만 하느님 찾는거같아서 쫌 반성중입니다 허허
