# FILE DATA
ID : MDRW2100028643
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 단모음

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  가족>형제자매
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 새학긴데 잘 적응햇니?
P0 	: 당근이지 ㅎㅎ
P1 	: 친구들이랑 안어색해?
P0 	: 나도 어색할줄 알았는데
P0 	: 어제본것처럼
P0 	: 자연스럽더라구.
P0 	: 오히려 더 친해진 느낌?
P1 	: 사실 어제본걸지도몰라...
P1 	: 방학은 없었던거지
P0 	: 일리가있네
P1 	: 자연스럽게 2학기로 넘어온거지...
P0 	: 생각해보니까 진짜 그랬어
P1 	: 방학은 허상이구
P0 	: 그런가봐..
P1 	: 나는 방학이 너무 길었어 ㅎㅎ
P1 	: 너무 좋았엉 ㅋㅋ
P0 	: 참 좋겠다 ㅎㅎ
P1 	: 대학생이니깐 ㅎㅎ
P0 	: 그래도 이제 과제때문에
P1 	: 개꿀이지.
P0 	: 밤새게생겼네 ㅎㅎ
P0 	: 대학생이니깐 ㅎㅎ
P1 	: 그래도 과제때문에 힘들려면 좀 남았어 ㅎㅎ
P0 	: 그렇구나 ㅎㅎ
P1 	: 원래 학기초에는 널널하잖아
P0 	: 대학교 시험은
P0 	: 언제 봐?
P1 	: 8주마다 한번씩 봐
P1 	: 8주차 16주차에 보는거지
P0 	: 그렇구나!!
P0 	: 신기하다
P0 	: 나도 빨리 대학교 가구싶어
P1 	: 고등학교때랑은 다르게
P1 	: 대부분 비슷해
P1 	: 화이팅!!
P0 	: 동아리 하기 싫다
