# FILE DATA
ID : MDRW2100043992
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녜하세요
P0 	: 좋아하는 디저트 있으세요?
P1 	: 안녕하세요~~
P1 	: 저는 마카롱 좋아합니다!ㅎㅎ
P0 	: 아하 마카롱과 뚱카롱 중 어떤게 좋으세요?
P1 	: 앗 저는 그냥 마카롱이요!ㅋㅋㅋ
P1 	: 뚱카롱은 좀 과해서... 제 기준엔 느끼하더라구요ㅎ
P1 	: &name1&님은요?
P0 	: 저두요 뚱카롱은 투머치에요
P0 	: ㅋㅋㅋ
P1 	: 그쵸그쵸 ㅋㅋㅋㅋㅋㅋ
P1 	: 큰건 참 좋은데
P1 	: 먹을때마다 참...과하구나 싶은ㅠㅠㅋㅋㅋㅋㅋ
P0 	: 마카롱 어디꺼가 젤 맛나나요?:)
P1 	: 앗 저는 그냥 동네에서 마카롱 사먹어서요!
P1 	: &name1&님은 온라인으로 시켜드시나요?
P0 	: 유명 카페 가볼때도 있고 택배도 가끄 시켜요
P1 	: 오오
P1 	: 그동안 드셔본것중에
P1 	: 맛있었던 택배마카롱 있으새요?
P0 	: 음..
P0 	: 전 아이디어스에서 디저트 구매 자주해요
P1 	: 헉 저도 아이디어스 회원인데!!ㅎㅎㅎㅎ
P1 	: 전 아이디어스에서 두번?정도 마카롱샀다가 다 실패했어요ㅠㅠㅠㅠ
P1 	: 아이디어스는 복불복이 좀 심하지않나요?ㅜㅜㅜㅜ 전 좀 그렇더라구요
P0 	: 아그런가요? ㅠ
P0 	: 전 항상 넘 만족스러웠어요 :):)
P0 	: 가격이 좀 비싸긴하지만 ㅜ 후기잘보고사면...
P1 	: 아하~~~
P1 	: 후기를 잘 봐야하는군요ㅎㅎㅎ
