# FILE DATA
ID : MDRW2100012714
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 기타 사회 생활 및 활동>온라인 커뮤니티

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 네.....예를 들면..... 니모님...........낙서모음
P1 	: 재록본 없거든요
P0 	: 어케..다시보나..그거
P1 	: 심지어 회지도 2014년 회지라...
P1 	: 구할수도 없단말이에요
P0 	: 아나 구하기도 힘들다
P1 	: 하 씁 울었어요
P0 	: 그 트친들 만난적 읶나요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그래도 뒤늦게 나온 건 전부 샀거든요? 근데 와
P0 	: 트위터하신다 해서
P1 	: 네
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 급 전개
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄴㄴㅋ
P1 	: 저 트친구랑.....코로나 전에는 만났거든요
P0 	: 오오오
P1 	: 전부 서울사람이라...씁 이젠...
P0 	: 엇
P1 	: 너무 먼 사이가 되었네요....
P1 	: 하 씁
P0 	: 원래 동네친구다가
P0 	: 서울사람된건가요?
P1 	: 님도 있을 거 같은데..... 아뇨!
P0 	: 아니면 서울사람이어도 만나러갓는데
P1 	: 후자입니다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 오케이.
P0 	: 너무 슬픈..
P0 	: 일화였읍니다
P1 	: 저는 사실 지방 시골사람이라 서울가는 걸 좋아했거든요
P1 	: 근데 칭긔도 만난다?! 일 석 이 조
P1 	: 님은요?!
P0 	: 보통 어느 목적으로 가나요?!
P0 	: 저는 그..덕톡화인가
P0 	: 교류회???
P0 	: 간 적 있고 윤재 온리전 간 적읶어요
P0 	: 피비 작가님 만나서 선물주고 오고 그랬어요
P0 	: ㅋㅋㅋㅋㅋ큨ㅋㅋㅋ ㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아니 아이돌 팔때는 만날 기회가 많았는데
P0 	: 투디파니까 그렇게 많이 없더라고요
P1 	: 너무 즐거우셨겠다 진심.
P1 	: 아
P1 	: 헐 맞아요
P0 	: 윤재온리전
P0 	: 저 약간 물품 모으는 카페에서 네임드여서
P0 	: 갔더니 어 00님이다 이러는거에요
P0 	: 쓰읍..
P1 	: 저도 아이돌 좋아할때 만난친구들이라 아이돌팔때는 자주만났는데 혼자 투디로 동떨어지면서 쓰릅....
P1 	: 와
P1 	: ㅋㅋㅋㅋㅋㅋ님....슈스?
P0 	: 아뇨
P0 	: 그 약간 한정판 광공
P1 	: 신기하다 저 온리전은 안가봤어요.
P1 	: 아
P0 	: 그래서 한정판 다 갖고 있고 이래서
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 쓰읍..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄴㄴ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저 아직도 해피투게더 팬북 있어요
P0 	: 이젠 쓰레기가 되었죠
P1 	: 와
P1 	: 님...버리라고요...
P0 	: 가시연 마요작가님이랑도 만나서 받은
P1 	: 심지어 둘 다 멀쩡하지 못해...
P1 	: 와
P0 	: 그 핫핑크 가시연 있고
P0 	: 그렇슴다.
P1 	: 와 와 와
P1 	: 님 가시연은 독해력 상승시켜준다고요
P0 	: 광공.
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그니까요 버려야하는뎈ㅋㅋㅋㅋㅋ
P1 	: 님 그거 팔아봐요
P1 	: 생각보다 사는 사람 있어요
P0 	: 제시받습니다.
P0 	: 아뇨 저 아직 윤재 사랑해요
P1 	: 저 그 뭐였지 엑소 좋 전 아니고요
P1 	: 네?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 하긴 전 루민 아직도 진심이라....
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 윤재는..저의...천년의 취향이라고요!!!
P0 	: 근데 암튼
P1 	: 아 진짜 웃겨 님 둘 다 완전 가상인간이라고요!!!!
P1 	: 하튼
P1 	: 그럼 트친이랑 실제로 만나지는 않았나요?
P0 	: 투디 덕후 칭긔들 만나서 뭐했나요
P1 	: 최근에? 한 3년기준
P0 	: 그 얼굴만 알아요
P0 	: 주소랑
P1 	: 아하
P0 	: 선물보내느라
P1 	: 네?
P0 	: 쓰읍..
P1 	: 아
P0 	: 근데 저 이상한 사람으로 보일까보ㅓ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 제 주소도 깟어요
P0 	: 먼지아시죠
P0 	: 요즘 위험해 사람
P1 	: 저는 그 투디칭긔들이랑 만나면 그 뭐지 걍 덕톡해요...그게 전부야.....
P1 	: 각자 아기자기한거 꺼내놓고
P1 	: 근데 웃긴게 그냥 BL만 보면 꺼낼게 엊ㅅ잖아요
