# FILE DATA
ID : MDRW2100039574
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 흑
P0 	: 아니그거 남기관사가 보고
P0 	: 열어줄 수 있지 않아요?
P1 	: ㅋㅋㅋ후..급행은 너무 많아서 사람이
P1 	: 기다려주면 끝도 없긴하죠..에혀
P1 	: 달리기를 더 빨리 뛰었어야햇다
P0 	: 흑 그렇군요ㅠ 사람들이 많았다면...ㅜ
P0 	: 저도 방금
P0 	: 비슷한 일을 겪었어요,,
P0 	: 지금 퇴근하는데
P0 	: 2호선을 코앞에서 놓쳤답니다!
P1 	: 아오...
P1 	: 저희 타면 문 닫으시라구요.
P1 	: 아.시.겠.어.요?
P0 	: 맞 소 맞 소
P0 	: &name2&님 집에 잘
P0 	: 도착하셨나요?!?!
P1 	: 네네 저 오자마자 저녁도 바로 호로록 했답니다
P1 	: &name1&님도 오늘하루 고생하셨어요
P1 	: 이제 주말이다!!!!!
P0 	: 우와아악 &name2&님도 고생하셨어요!!!!!
P0 	: 저는 이제 다음역에서 내리는데
P0 	: 필라테스에 늦을 확률이 아주 높아서 심장이
P0 	: 벌렁벌렁하답니다!!
P1 	: 우와 진짜 하루를 알차게 보내시네요
P1 	: 오늘 필테 이기고 오세요!!
P0 	: &name2&님~~~ 제가 왔어요!!!
P0 	: 드디어 필테를 끝내고 왔답니다~~~ 알찬 하루!!!
P1 	: 알찬 하루~~~~
P1 	: 아주 뿌듯한 하루네요 ㅋㅋㅋㅋ
P0 	: 오늘 일도 열심히 했는데 뿌듯해요~!
P1 	: 저는 그렇게 알찬 하루 보내면
P0 	: 네네!
P1 	: 마지막에 저에 대한 보상으로 맥주 마시는게 그리 좋아요 ㅋㅋㅋㅋ
P0 	: &name2&님 역시
P0 	: 애주가신가요!!!
P0 	: &name2&님이 그리 좋다고 하시는거 넘 좋아요 ㅎㅎㅎ
P1 	: 굿모닝! 좋은 주말입니다~~
P1 	: 11시만 넘으면 저는 기절을 하지요..ㅋㅋㅋㅋㅋ
P1 	: 네 저 애주가..ㅎㅎ 아 근데 요즘 술을 줄이려고 하고있어요 그동안 너무 폭음한거같아서..
