# FILE DATA
ID : MDRW2100032893
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㄹㅇ 새벽 버프 받음
P1 	: 스무디 종류 다른 걸로 시키면
P0 	: 군침이싹도네
P1 	: 계속 닦아야해?
P0 	: 파인트 받으면 파인트 먹어야지
P0 	: 내가일하던데는 그랫음
P0 	: 손님을 약간 저주하게 돼
P1 	: 아 부럽다 나도 베라 혼내줄까
P0 	: 스무디는 ㄱㅊ은데 프라푸치노가 지옥이야
P1 	: 어디길래...... 거기가야겠다
P0 	: 베라는 레인보우샤베트 알지?
P1 	: ㅋㅋㅋㅋㅋ 위생적이군
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ위생이냐구ㅠ
P1 	: 아니 모르능데
P1 	: ㅋㅋ
P0 	: ㅋㅋ
P0 	: 민초같은거
P0 	: 안...먹지?
P1 	: 민초 오레오 사빠딸 엄외 슈팅스타
P0 	: 진짜
P1 	: 초코도^^
P0 	: 민초 사빠딸 엄외?
P0 	: 슈팅스타만인정
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 참나
P0 	: 레샤 블랙소르베 슈팅스타 솜사탕 국룰이지
P1 	: 당신은 미뢰가 잘못되였어요
P1 	: 블랙 소르베;;;;;;
P1 	: 좋아했는데 없어짐
P0 	: ?
P1 	: 내 1픽;;;
P0 	: 그거 인기도 많은데
P1 	: 베라 저주함
P0 	: ㅋㅋㅋㅋㅋ블랙소르베맛잇지
P0 	: 그리고그거
P1 	: 없어진지 꽤 됐어ㅠㅠ
P0 	: 박카스아이스크림
P0 	: 좀 좋아해... 기간한정이엇지만
P0 	: 내가 베라를자주못가.,
P1 	: ?;;;
P1 	: 우욱
P1 	: 뭔맛이야그게
P0 	: 반응이 상처가되네
P0 	: 박카스얼린맛
P0 	: 맛잇음
P0 	: 너도반할걸
