# FILE DATA
ID : MDRW2100034068
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 하 단거 먹고싶다
P0 	: 무슨 재료들어간 음료임?
P1 	: 뭔가요새 계속 우울한데
P1 	: 브랜드임 백종원커피
P1 	: 프랜차이즈
P0 	: 백다방?
P0 	: 비와서그러나
P1 	: 달달한거 먹으면 일시적으로 기분 좋아짐
P0 	: ㅋㅋㅋ
P0 	: 일시적인게 마약작용과 머가다름니까 하고 나도 먹고프네
P1 	: 인생의 낙?
P1 	: 근데 솔직히 먹고나면 후회함 ㅋ
P0 	: ㅋㅋ그것도 마약중독같다야
P0 	: 이러고 나도 무금ㅋㅋ
P1 	: 솔직히 비싸기도함
P1 	: 카페서 사먹는음료들
P0 	: 음 글체
P1 	: 네스퀵타먹음되지
P0 	: 내친구는 커피콩사서 볶아먹음
P1 	: 그래서오늘은 얼음물 싸옴
P0 	: 오
P0 	: 건강식돌입하나여
P1 	: 건강식단
P1 	: 낮에도 장어랑
P1 	: 토마토
P1 	: 바나나
P1 	: 떡
P1 	: 먹음
P0 	: 오
P0 	: 그렇게 가는거야!!
P0 	: 나는 수제비먹음 점심에
P1 	: 떡은 옆에서 한두조각 먹음
P1 	: 딸기설기 존맛
P1 	: ㅋㅋ
P0 	: 오 마싱는 떡이다
P0 	: 왠겅ᆢ
P1 	: 대구에 떡집 맛집 알게되서
P1 	: 택배시킴
