# FILE DATA
ID : MDRW2100028702
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : PC(데스크탑/노트북)
keyboard : 기타

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 그냥동물얘기는안돼?
P1 	: 흥
P0 	: 동물농장
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아는사람은 뱀키워
P1 	: 짱이다
P0 	: 검은뱀 빨간뱀 흰뱀
P1 	: 이쁜이
P0 	: 귀여워
P0 	: 뱀은 얼굴이
P0 	: :3
P1 	: 근데 뱀 밥을 못주겠어
P0 	: 이렇잖아
P1 	: 흐아아악
P0 	: 뱀못키운다 난
P1 	: 너무좋아
P0 	: 강아지도 고양이도
P0 	: 그냥 대신 키워주고
P0 	: 내옆집에 살 사람
P1 	: 하김
P0 	: 구함
P1 	: 뱀키우는친구한테
P1 	: 나도키워달라고
P1 	: 해야겠다
P0 	: 메뚜기가 밥이야
P1 	: 못줘
P0 	: 이제 니밥은 뀌뚜라미야
P0 	: 니 식단 밀웜
P1 	: 싫어!
P1 	: 인간잡아먹기
P0 	: 보아뱀이엇네
P1 	: 어떻개든뱀이라고
P0 	: 하긴 벌레먹기 vs 인간먹기
P1 	: 우기는구나
P0 	: 닥후지
P0 	: 그치
P0 	: 사이버뱀
P0 	: 비얌~
P1 	: 비얌~
P1 	: 뱜~
P0 	: 맛밤 맛잇지
P1 	: 하지만 요즘
P0 	: 비싼간식
P1 	: 키우고싶은건
P1 	: 앵무새
P0 	: 헐
P0 	: 대박귀엽지
P0 	: 짱이지
P0 	: 매일반 손가락 하나씩
P0 	: 뜯어간다매
P1 	: 앵무새~
P0 	: 손가락둥지
P1 	: 그약간
P1 	: 광기가 가득한
P1 	: 그
P1 	: 생물체가
P0 	: 빨간 페럿
P1 	: 귀여워
P0 	: 맞아
P0 	: 관종맥스
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 앵뮤새처럼살자!
P0 	: 그래!
