# FILE DATA
ID : MDRW2100037837
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 감우 호두 알베도 다 싫어.....
P1 	: 호두도 좀 구린게
P1 	: 걔도 스킬쓰면 피 닳는데
P1 	: 필드에 불까지 붙어서
P1 	: 겁나 닳아
P0 	: 헐
P0 	: 그래도 딜러로 나름 상위 티어던데
P1 	: 그치만 나 호두 체험할때
P1 	: 밥 겁나 먹였어
P0 	: 난 호두 체험
P0 	: 퍼즐 못풀어서
P1 	: 나도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 맵 빙글빙글 돌앗던 기억밖에...
P1 	: 거기만 한 여덟바퀴를
P1 	: 도는데
P1 	: 중간에 불붙여서 길 터야하는부분
P1 	: 스킬 쓸때마다 애가
P1 	: 다 죽)어가는거야......
P1 	: 물론 소는 그때
P1 	: 체력 증가버프걸려있어서
P1 	: 둘이 체감차이 크게 나는걸수도 있긴ㅊ한데
P0 	: ㅇㅇ 소 체험판이 좀 사기긴 햇어
P0 	: 와 라이덴
P0 	: 2돌하면 사기캐된대
P1 	: 그치만
P1 	: 2돌을 억케해요......
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그리고 벤티랑 종려는
P1 	: 그냥 사기캐엿는데
P0 	: 그래서 그 급은 아니라고 말 나오긷 하나봐
P1 	: 왜 너는 2돌 해야 사기캐니
P1 	: 역시 구관이 명관인가
P0 	: ㅋㅋㅋㅋㅋ 초대 신이 아니라서...?
P1 	: 그닉가....
P0 	: 2돌하면 상대 저항력 무시하고 데미지 넣는대
P1 	: 헐
P1 	: 개사기
P1 	: 근데 여기서
P1 	: 추가 2천장을한대도
P1 	: 라이덴이 둘 나오진
P1 	: 않을텐데
P1 	: 그걸 억케해........
P0 	: 그렇긴 하지 ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 2돌하려면 최대 4천장...
